"RLS_category_2","label","freq","mean_cover_present","rank.freq","rank.cover","new.label"
"Foliose/Plate corals","Montipora hispida",20,25.2533237558,111,1,"Montipora hispida"
"Encrusting corals","Montipora spongodes",1,8,379,2,"Montipora spongodes"
"Branching corals","Isopora brueggemanni",98,6.20120313552041,22,3,"Isopora brueggemanni"
"Foliose/Plate corals","Porites monticulosa",1,6.060606061,393,4,"Porites monticulosa"
"Sub-massive corals","Porites rus",88,5.85990459956818,29,5,"Porites rus"
"Branching corals","Porites cylindrica",136,5.85436397314706,16,6,"Porites cylindrica"
"Foliose/Plate corals","Turbinaria mesenterina",8,5.625,196,7,"Turbinaria mesenterina"
"Branching Acropora","Acropora abrolhosensis",19,5.54977413536842,112,8,"Acropora abrolhosensis"
"Tabular Acropora corals","Acropora valenciennesi",2,5.5,286,9,"Acropora valenciennesi"
"Branching Acropora","Acropora muricata",141,5.4032733311844,14,10,"Acropora muricata"
"Sub-massive corals","Galaxea astreata",35,5.15527618185714,70,11,"Galaxea astreata"
"Encrusting corals","Echinopora pacificus",13,5.04345597161538,147,12,"Echinopora pacificus"
"Branching Acropora","Acropora microphthalma",13,5.04142011846154,145,13,"Acropora microphthalma"
"Branching corals","Seriatopora dendritica",1,5,395,14,"Seriatopora dendritica"
"Columnar corals","Isopora palifera",246,4.72871195,6,15,"Isopora palifera"
"Bottlebrush Acropora corals","Acropora elseyi",16,4.7226322676875,124,16,"Acropora elseyi"
"Foliose/Plate corals","Astreopora Solid plates",2,4.581632653,291,17,"Astreopora Solid plates"
"Tabular Acropora corals","Acropora spicifera",25,4.56100250628,90,18,"Acropora spicifera"
"Massive corals","Porites Hemispherical",220,4.55154782575,7,19,"Porites Hemispherical"
"Sub-massive corals","Pachyseris rugosa",11,4.35736285909091,164,20,"Pachyseris rugosa"
"Columnar corals","Montipora Columnar or digitate",4,4.334606678,240,21,"Montipora Columnar or digitate"
"Sub-massive corals","Porites annae",25,4.32238827776,92,22,"Porites annae"
"Encrusting corals","Isopora Encrusting",19,4.15288220552632,116,23,"Isopora Encrusting"
"Tabular Acropora corals","Acropora sukarnoi",1,4.12371134,338,24,"Acropora sukarnoi"
"Stony corals","Echinopora",2,4.0816326535,294,25,"Echinopora"
"Branching Acropora","Acropora lovelli",1,4,336,26,"Acropora lovelli"
"Encrusting corals","Alveopora spongiosa",1,4,340,27,"Alveopora spongiosa"
"Sub-massive corals","Pavona venosa",2,3.9901960785,311,28,"Pavona venosa"
"Branching corals","Alveopora catalai",2,3.903846154,287,29,"Alveopora catalai"
"Encrusting corals","Pavona explanulata",3,3.873015873,272,30,"Pavona explanulata"
"Tabular Acropora corals","Acropora hyacinthus",95,3.73847505487368,24,31,"Acropora hyacinthus"
"Branching Acropora","Acropora grandis",15,3.64954119473333,131,32,"Acropora grandis"
"Tabular Acropora corals","Acropora cytherea",73,3.63040590613699,36,33,"Acropora cytherea"
"Massive corals","Porites Massive",203,3.62412079159113,10,34,"Porites Massive"
"Branching Acropora","Acropora horrida",5,3.608080808,222,35,"Acropora horrida"
"Sub-massive corals","Lobophyllia robusta",2,3.5204081635,305,36,"Lobophyllia robusta"
"Branching corals","Pavona cactus",2,3.5,310,37,"Pavona cactus"
"Foliose/Plate corals","Turbinaria reniformis",12,3.4175084175,158,38,"Turbinaria reniformis"
"Foliose/Plate corals","Porites lichen",162,3.39497881851852,13,39,"Porites lichen"
"Bottlebrush Acropora corals","Acropora longicyathus",48,3.34828932985417,55,40,"Acropora longicyathus"
"Sub-massive corals","Montipora meandrina",2,3.2988505745,308,41,"Montipora meandrina"
"Tabular Acropora corals","Acropora abrotanoides",31,3.26379059041935,73,42,"Acropora abrotanoides"
"Tabular Acropora corals","Acropora seriata",5,3.2,223,43,"Acropora seriata"
"Digitate corals","Acropora digitifera",96,3.19576431567708,23,44,"Acropora digitifera"
"Branching corals","Echinopora ashmorensis",21,3.17631373485714,105,45,"Echinopora ashmorensis"
"Foliose/Plate corals","Montipora aequituberculata",30,3.1594332375,77,46,"Montipora aequituberculata"
"Branching Acropora","Acropora vaughani",7,3.13749742314286,202,47,"Acropora vaughani"
"Foliose/Plate corals","Montipora crassituberculata",26,3.13665460688462,89,48,"Montipora crassituberculata"
"Branching Acropora","Acropora pulchra",22,3.04512265186364,99,49,"Acropora pulchra"
"Massive corals","Acanthastrea hillae",2,3.0252525255,282,50,"Acanthastrea hillae"
"Massive corals","Diploastrea heliopora",58,3.0166427217069,45,51,"Diploastrea heliopora"
"Encrusting corals","Isopora cuneata",3,3,266,52,"Isopora cuneata"
"Corymbose Acropora corals","Acropora chesterfieldensis",1,3,330,53,"Acropora chesterfieldensis"
"Corymbose Acropora corals","Acropora glauca",1,3,334,54,"Acropora glauca"
"Digitate corals","Acropora globiceps",1,3,335,55,"Acropora globiceps"
"Stony corals","Hydnophora grandis",1,3,367,56,"Hydnophora grandis"
"Encrusting corals","Leptastrea transversa",1,3,370,57,"Encrusting corals"
"Branching Acropora","Acropora Staghorn",93,2.9838434755914,26,58,"Acropora Staghorn"
"Tabular Acropora corals","Tabular Acropora corals",73,2.93482838010959,37,59,"Tabular Acropora corals"
"Foliose/Plate corals","Echinopora mammiformis",7,2.88223800285714,204,60,"Foliose/Plate corals"
"Hydrocoral","Millepora exaesa",260,2.84484415526923,3,61,"Millepora exaesa"
"Branching Acropora","Acropora austera",41,2.82634497858537,66,62,"Branching Acropora"
"Sub-massive corals","Pavona duerdeni",34,2.81932207994118,72,63,"Sub-massive corals"
"Encrusting corals","Montipora Encrusting",364,2.7944855870989,1,64,"Montipora Encrusting"
"Branching Acropora","Acropora intermedia",34,2.76961349132353,71,65,"Branching Acropora"
"Branching Acropora","Acropora loisetteae",7,2.74955462371429,199,66,"Branching Acropora"
"Columnar corals","Pavona clavus",12,2.73574173266667,155,67,"Columnar corals"
"Bottlebrush Acropora corals","Acropora carduus",6,2.68192231583333,214,68,"Bottlebrush Acropora corals"
"Foliose/Plate corals","Turbinaria frondens",3,2.67346938766667,279,69,"Foliose/Plate corals"
"Branching corals","Psammocora contigua",3,2.66666666666667,277,70,"Branching corals"
"Bottlebrush Acropora corals","Acropora turaki",15,2.59934813166667,133,71,"Bottlebrush Acropora corals"
"Tabular Acropora corals","Acropora papillare",7,2.58076683242857,200,72,"Tabular Acropora corals"
"Stony corals","Leptastrea",2,2.56185567,302,73,"Stony corals"
"Sub-massive corals","Pectinia paeonia",10,2.5545201835,169,74,"Sub-massive corals"
"Encrusting corals","Pavona varians",205,2.52950067820488,8,75,"Pavona varians"
"Branching Acropora","Acropora yongei",7,2.50709332071429,203,76,"Branching Acropora"
"Massive corals","Symphyllia agaricia",2,2.505050505,321,77,"Massive corals"
"Sub-massive corals","Coscinaraea Submassive",2,2.5,292,78,"Sub-massive corals"
"Foliose/Plate corals","Montipora corbettensis",2,2.5,306,79,"Foliose/Plate corals"
"Encrusting corals","Echinopora gemmacea",24,2.42809370725,93,80,"Encrusting corals"
"Foliose/Plate corals","Merulina ampliata",80,2.425209855325,32,81,"Merulina ampliata"
"Sub-massive corals","Pectinia lactuca",8,2.377551020375,193,82,"Sub-massive corals"
"Hydrocoral","Millepora dichotoma",49,2.3687019815102,54,83,"Hydrocoral"
"Corymbose Acropora corals","Acropora tenuis",76,2.36105840931579,34,84,"Acropora tenuis"
"Encrusting corals","Montipora informis",15,2.3585952802,137,85,"Encrusting corals"
"Foliose/Plate corals","Montipora Foliose",28,2.28445013828571,84,86,"Foliose/Plate corals"
"Corymbose Acropora corals","Acropora millepora",46,2.28434586723913,59,87,"Corymbose Acropora corals"
"Tabular Acropora corals","Acropora florida",47,2.27319910265957,57,88,"Tabular Acropora corals"
"Branching Acropora","Acropora Bushy arborescent",50,2.27130798698,52,89,"Branching Acropora"
"Massive corals","Platygyra lamellina",8,2.237777735,194,90,"Massive corals"
"Digitate corals","Digitate corals",5,2.2368609298,226,91,"Digitate corals"
"Foliose/Plate corals","Mycedium elephantotus",9,2.23472080288889,180,92,"Foliose/Plate corals"
"Tabular Acropora corals","Acropora paniculata",21,2.22541639304762,103,93,"Tabular Acropora corals"
