"site_code","site_name","latitude","longitude","SiteLong_rd","SiteLat_rd","Mean_SST_cl","SD_SST_cl","npp_mean","npp_min","npp_max","npp_sd","npp_interann_sd","npp_flag","wave_mean","wave_sd","wave_interann_sd","land_area_20km","reef_area_20km","pop2015_20km","depth","MMM","maxDHW","maxSSTA","Year_Pre","Year_Post","interval"
"CS1","Long Reef West",-19.29696,152.23517,152.2,-19.3,25.77992646,1.537101042,626.7656041,400.2669983,893.914502,127.8486918,26.43851386,0,17.50817396,5.296239166,2.101123289,0,45.25,0,9.75,27.81085968,0,0,2012,2016.8,4.8
"CS10","NE Herald Cay SW",-16.94777,149.18262,149.2,-16.9,26.425856432,1.46163111,503.7209253,359.6265622,733.3130219,97.49255487,32.09469917,1,14.06394452,4.186165418,1.780958511,0,26.75,0,6,28.340346144,0,0,2012,2017,5
"CS101","Diamond Cay Islet",-17.41432,151.07258,151.1,-17.4,26.23865366,1.414672343,503.0768146,367.502366,643.9198316,80.87535091,24.73255108,1,17.42269235,4.929171584,2.076740538,0,40.75,0,12.5,28.06956863,0,0,2013,2016,3
"CS102","East Diamond Islet NW",-17.41703,151.07128,151.1,-17.4,26.23865366,1.414672343,503.0768146,367.502366,643.9198316,80.87535091,24.73255108,1,17.42269235,4.929171584,2.076740538,0,40.75,0,7,28.06956863,0,0,2013,2016,3
"CS103","East Diamond Islet lagoon",-17.43525,151.07027,151.1,-17.4,26.23865366,1.414672343,500.9543946,347.7218412,663.9452173,89.35401316,28.04149541,1,17.3299589,4.903831778,2.068266856,0,40.75,0,6,28.06956863,0,0,2013,2016,3
"CS104","East Diamond Islet Tower",-17.4347,151.07127,151.1,-17.4,26.23865366,1.414672343,500.9543946,347.7218412,663.9452173,89.35401316,28.04149541,1,17.3299589,4.903831778,2.068266856,0,40.75,0,3,28.06956863,0,0,2013,2016,3
"CS11","NE Herald Cay Central",-16.93653,149.19696,149.2,-16.9,26.42536688,1.462871408,503.7209253,359.6265622,733.3130219,97.49255487,32.09469917,1,14.06394452,4.186165418,1.780958511,0,26.75,0,8.5,28.34103584,0,0,2012,2017,5
"CS110","Tregrosse Outlier Reef Down",-17.71175,150.73692,150.7,-17.7,26.14061848,1.476145749,619.9414987,393.48211785,844.5322377,119.8203633,29.64261187,1,16.33814191,4.595947927,1.9631642535,0,45,0,7.5,28.07126617,0,0,2013,2016,3
"CS111","Tregrosse Outlier Reef",-17.71298,150.7345,150.7,-17.7,26.14061848,1.476145749,615.0497245,388.1119878,835.0361904,122.0373569,26.52414851,1,16.36676321,4.615623041,1.971767955,0,45,0,9.5,28.07126617,0,0,2013,2016,3
"CS113","Tregosse Reef",-17.77473,150.63277,150.6,-17.8,26.14958938,1.479726971,552.7842745,364.2501347,772.4613546,126.8763001,24.38051759,1,15.96490133,4.511619389,1.929567917,0,25,0,8,28.10355377,0,0,2013,2016,3
"CS12","NE Herald Bommie",-16.93007,149.19332,149.2,-16.9,26.42536688,1.462871408,503.7209253,359.6265622,733.3130219,97.49255487,32.09469917,1,14.06394452,4.186165418,1.780958511,0,26.75,0,13,28.34103584,0,0,2012,2017,5
"CS123","South Flinders Horseshoe NW",-17.82899,148.50514,148.5,-17.8,26.20020787,1.597087572,530.2951917,358.6515659,787.6234716,113.5821994,22.58502834,1,13.86234024,4.090312097,1.703357801,0.407211802,89.5,0,10.5,28.31949234,0,0,2013,2017,4
"CS126","Flinders Ribbon Reef South Cay",-17.71666,148.43873,148.4,-17.7,26.20633809,1.597768803,588.7585067,407.5020729,848.2492576,117.377998,28.78794285,1,14.19393088,4.191657542,1.736260304,0.203681509,82.25,0,10,28.32816696,0,0,2013,2017,4
"CS127","Flinders Ribbon Reef South Cay SW",-17.71505,148.4373,148.4,-17.7,26.20633809,1.597768803,588.7585067,407.5020729,848.2492576,117.377998,28.78794285,1,14.19393088,4.191657542,1.736260304,0.203681509,82.25,0,8,28.32816696,0,0,2013,2017,4
"CS128","Flinders Cay Storm Bommie",-17.70575,148.4606,148.5,-17.7,26.20277119,1.591672835,605.7617068,429.260045,869.5800264,118.1999942,30.91920304,1,13.44890871,3.928720448,1.612933769,0.407211802,112.25,0,6.6,28.31719589,0,0,2013,2017,4
"CS129","Flinders Ribbon Reef South Cay E bommie",-17.70304,148.46176,148.5,-17.7,26.20277119,1.591672835,605.7617068,429.260045,869.5800264,118.1999942,30.91920304,1,13.44890871,3.928720448,1.612933769,0.407211802,112.25,0,8.5,28.31719589,0,0,2013,2017,4
"CS13","NE Herald Back Reef",-16.92822,149.20228,149.2,-16.9,26.42659076,1.459770663,503.7209253,359.6265622,733.3130219,97.49255487,32.09469917,1,14.06394452,4.186165418,1.780958511,0,26.75,0,6.5,28.3393116,0,0,2012,2017,5
"CS130","Chilcott Islet bommie",-16.93133,149.999,150,-16.9,26.40622075,1.406153409,563.8611307,349.089414,783.2212006,119.4499905,38.80415834,1,13.64472862,3.810286197,1.620590657,0.204556699,17.25,0,8.5,28.28011703,0,0,2013,2017,4
"CS131","Chilcott Islet Haven",-16.93012,150.00203,150,-16.9,26.39959812,1.402978955,563.8611307,349.089414,783.2212006,119.4499905,38.80415834,1,13.64472862,3.810286197,1.620590657,0.204556699,17.25,0,8.3,28.26583862,0,0,2013,2017,4
"CS132","Chilcott Islet SW inner reef",-16.93157,149.99043,150,-16.9,26.40622075,1.406153409,558.2775282,353.4142454,808.386731,116.5084673,35.14621774,1,13.49075841,3.778195569,1.608327696,0.204556699,17.25,0,9,28.28011703,0,0,2013,2017,4
"CS139","Magdelaine Cay SW",-16.53378,150.26845,150.3,-16.5,26.51517487,1.365096306,1200.515811,392.822998,2248.48999,503.6206741,144.7562409,0,16.76206124,4.84263313,2.01333955,0,60.75,0,12,28.31077766,0,0,2013,2016,3
"CS140","Magdelaine Cay gulch",-16.53091,150.26973,150.3,-16.5,26.51517487,1.365096306,1200.515811,392.822998,2248.48999,503.6206741,144.7562409,0,16.76206124,4.84263313,2.01333955,0,60.75,0,9.5,28.31077766,0,0,2013,2016,3
"CS141","Magdelaine Reef Cruise Ship",-16.52097,150.27712,150.3,-16.5,26.51517487,1.365096306,1200.515811,392.822998,2248.48999,503.6206741,144.7562409,0,16.76206124,4.84263313,2.01333955,0,60.75,0,7.15,28.31077766,0,0,2013,2016,3
"CS143","South Willis islet south",-16.29907,149.96294,150,-16.3,26.56409725,1.371325188,540.0744623,363.0786667,766.3354752,97.30376194,52.73269531,1,15.96832468,4.674292487,1.926310214,0.616217652,99,0,6.5,28.36961555,0,0,2013,2016,3
"CS144","Willis Islet Dark Wall",-16.28601,149.95958,150,-16.3,26.56409725,1.371325188,511.5097899,322.0633367,755.5010613,96.77442787,51.48437477,1,15.83975687,4.637909126,1.903332478,0.616217652,99,0,8.1,28.36961555,0,0,2013,2016,3
"CS145","South Willis islet anchorage bommie",-16.2927,149.96138,150,-16.3,26.56409725,1.371325188,511.5097899,322.0633367,755.5010613,96.77442787,51.48437477,1,15.83975687,4.637909126,1.903332478,0.616217652,99,0,9,28.36961555,0,0,2013,2016,3
"CS146","Holmes South Cay Inner Reef",-16.49974,147.84345,147.8,-16.5,26.47688866,1.518971322,605.2635291,421.7403259,895.8731934,111.0568044,25.09567521,1,14.53334861,4.617828988,1.803856124,0.205050005,58,0,7,28.48912048,0,0,2013,2016,3
"CS147","Holmes Reef Cay Buoy Wall",-16.51274,147.84033,147.8,-16.5,26.46475967,1.523042342,564.3459576,440.696991,750.7237915,88.19764398,18.908235,0,14.83343402,4.700932971,1.837590965,0.205050005,58,0,8.35,28.48080635,0,0,2013,2016,3
"CS148","Holmes South Cay South Reef",-16.50813,147.84016,147.8,-16.5,26.46475967,1.523042342,564.3459576,440.696991,750.7237915,88.19764398,18.908235,0,14.83343402,4.700932971,1.837590965,0.205050005,58,0,11,28.48080635,0,0,2013,2016,3
"CS149","Holmes South Cay South Inner Reef",-16.50487,147.84137,147.8,-16.5,26.46475967,1.523042342,564.3459576,440.696991,750.7237915,88.19764398,18.908235,0,14.83343402,4.700932971,1.837590965,0.205050005,58,0,8,28.48080635,0,0,2013,2016,3
"CS15","Chilcott Bommie",-16.92247,150.00647,150,-16.9,26.39959812,1.402978955,563.8611307,349.089414,783.2212006,119.4499905,38.80415834,1,13.64472862,3.810286197,1.620590657,0.204556699,17.25,0,14,28.26583862,0,0,2012,2017,5
"CS150","Holmes Reef South Cay Swim through",-16.49493,147.84932,147.8,-16.5,26.47688866,1.518971322,605.2635291,421.7403259,895.8731934,111.0568044,25.09567521,1,14.53334861,4.617828988,1.803856124,0.205050005,58,0,4.55,28.48912048,0,0,2013,2016,3
"CS151","Holmes N Cay anchorage",-16.47592,147.86608,147.9,-16.5,26.47304583,1.517630873,605.2635291,421.7403259,895.8731934,111.0568044,25.09567521,1,14.53334861,4.617828988,1.803856124,0.205050005,102.5,0,7.5,28.48744774,0,0,2013,2016,3
"CS153","Inner Osprey East",-13.85535,146.62455,146.6,-13.9,26.80614869,1.456880782,553.6866416,369.4803314,741.2682543,102.7571296,34.18457596,1,16.68251706,6.885262262,1.95303071,0,78.75,0,7.25,28.6871376,0,0,2013,2016,3
"CS154","Inside Osprey NE",-13.854,146.6254,146.6,-13.9,26.80614869,1.456880782,553.6866416,369.4803314,741.2682543,102.7571296,34.18457596,1,16.68251706,6.885262262,1.95303071,0,78.75,0,7.25,28.6871376,0,0,2013,NA,NA
"CS155","Osprey Pass South",-13.8914,146.55312,146.6,-13.9,26.80084912,1.458508911,950.5023136,649.2591756,1325.231157,134.7042682,58.92591468,1,14.4147459,5.92323573,1.65742035,0,78.75,0,8.25,28.68905067,0,0,2013,2016,3
"CS156","Osprey Pass",-13.88295,146.56243,146.6,-13.9,26.80084912,1.458508911,950.5023136,649.2591756,1325.231157,134.7042682,58.92591468,1,14.4147459,5.92323573,1.65742035,0,78.75,0,4.5,28.68905067,0,0,2013,2016,3
"CS157","Osprey Pass Channel",-13.8954,146.5576,146.6,-13.9,26.80084912,1.458508911,950.5023136,649.2591756,1325.231157,134.7042682,58.92591468,1,14.4147459,5.92323573,1.65742035,0,78.75,0,9,28.68905067,0,0,2013,2016,3
"CS158","Osprey Castle",-13.87003,146.57765,146.6,-13.9,26.80084912,1.458508911,973.8210404,671.4751765,1359.145996,136.034556,60.52361042,1,14.60699073,6.094506447,1.686336869,0,78.75,0,7.5,28.68905067,0,0,2013,2016,3
"CS16","Chilcott NE",-16.92251,150.01143,150,-16.9,26.39959812,1.402978955,563.8611307,349.089414,783.2212006,119.4499905,38.80415834,1,13.64472862,3.810286197,1.620590657,0.204556699,17.25,0,6.5,28.26583862,0,0,2012,2017,5
"CS17","SW South West Islet",-16.97162,149.90476,149.9,-17,26.39262597,1.411032317,590.254984,437.9720735,810.87744,104.1445806,35.54754473,1,13.53335994,3.827995729,1.640892869,0.204556699,31.25,0,6.5,28.27536774,0,0,2012,2017,5
