"site_code","pre_post","longitude","latitude","cluster","site_name","Mean_SST_cl","SD_SST_cl","npp_mean","npp_min","npp_max","npp_sd","npp_interann_sd","npp_flag","wave_mean","wave_sd","wave_interann_sd","land_area_20km","reef_area_20km","pop2015_20km","depth","MMM","maxDHW","maxSSTA","Year_Pre","Year_Post","interval","clust.prepost"
"CS1","Post",152.23517,-19.29696,1,"Long Reef West",25.77992646,1.537101042,626.7656041,400.2669983,893.914502,127.8486918,26.43851386,0,17.50817396,5.296239166,2.101123289,0,45.25,0,9.625,27.81085968,3.049999932,1.859999958,2012,2016.8,4.8,"Post_1"
"CS1","Pre",152.23517,-19.29696,1,"Long Reef West",25.77992646,1.537101042,626.7656041,400.2669983,893.914502,127.8486918,26.43851386,0,17.50817396,5.296239166,2.101123289,0,45.25,0,9.75,27.81085968,0,0,2012,2016.8,4.8,"Pre_1"
"CS10","Post",149.18262,-16.94777,1,"NE Herald Cay SW",26.425856432,1.46163111,503.7209253,359.6265622,733.3130219,97.49255487,32.09469917,1,14.06394452,4.186165418,1.780958511,0,26.75,0,5,28.340346144,8.7719998036,2.063999954,2012,2017,5,"Post_1"
"CS10","Pre",149.18262,-16.94777,1,"NE Herald Cay SW",26.425856432,1.46163111,503.7209253,359.6265622,733.3130219,97.49255487,32.09469917,1,14.06394452,4.186165418,1.780958511,0,26.75,0,6,28.340346144,0,0,2012,2017,5,"Pre_1"
"CS101","Post",151.07258,-17.41432,1,"Diamond Cay Islet",26.23865366,1.414672343,503.0768146,367.502366,643.9198316,80.87535091,24.73255108,1,17.42269235,4.929171584,2.076740538,0,40.75,0,9,28.06956863,6.359999858,1.999999955,2013,2016,3,"Post_1"
"CS101","Pre",151.07258,-17.41432,1,"Diamond Cay Islet",26.23865366,1.414672343,503.0768146,367.502366,643.9198316,80.87535091,24.73255108,1,17.42269235,4.929171584,2.076740538,0,40.75,0,12.5,28.06956863,0,0,2013,2016,3,"Pre_1"
"CS102","Post",151.07128,-17.41703,1,"East Diamond Islet NW",26.23865366,1.414672343,503.0768146,367.502366,643.9198316,80.87535091,24.73255108,1,17.42269235,4.929171584,2.076740538,0,40.75,0,7,28.06956863,6.359999858,1.999999955,2013,2016,3,"Post_1"
"CS102","Pre",151.07128,-17.41703,1,"East Diamond Islet NW",26.23865366,1.414672343,503.0768146,367.502366,643.9198316,80.87535091,24.73255108,1,17.42269235,4.929171584,2.076740538,0,40.75,0,7,28.06956863,0,0,2013,2016,3,"Pre_1"
"CS103","Post",151.07027,-17.43525,1,"East Diamond Islet lagoon",26.23865366,1.414672343,500.9543946,347.7218412,663.9452173,89.35401316,28.04149541,1,17.3299589,4.903831778,2.068266856,0,40.75,0,6,28.06956863,6.359999858,1.999999955,2013,2016,3,"Post_1"
"CS103","Pre",151.07027,-17.43525,1,"East Diamond Islet lagoon",26.23865366,1.414672343,500.9543946,347.7218412,663.9452173,89.35401316,28.04149541,1,17.3299589,4.903831778,2.068266856,0,40.75,0,6,28.06956863,0,0,2013,2016,3,"Pre_1"
"CS104","Post",151.07127,-17.4347,1,"East Diamond Islet Tower",26.23865366,1.414672343,500.9543946,347.7218412,663.9452173,89.35401316,28.04149541,1,17.3299589,4.903831778,2.068266856,0,40.75,0,3.5,28.06956863,6.359999858,1.999999955,2013,2016,3,"Post_1"
