"","X1","X2","X3","X4","X5","X6","X7","ind.Coral.sp...pval..."
"Acanthastrea.brevis",0.00504385964912281,0,0.0309782608695652,0,0,0,0,0.33
"Acanthastrea.echinata",0.00240993120195795,0.0177547992634045,0,0.00708905973305693,0,0.00313194659006455,0,0.64
"Acanthastrea.Encrusting",0.0175438596491228,0,0,0,0,0,0,0.81
"Acanthastrea.Hemispherical",0,0,0,0,0,0,0.0172413793103448,1
"Acanthastrea.hemprichii",0.0199819791169767,0,0,0,0,0,0.00742264819252005,0.71
"Acanthastrea.hillae",0,0,0.0434782608695652,0,0,0,0,0.12
"Acanthastrea.Submassive",0,0,0,0,0,0,0.0172413793103448,1
"Acropora",0.0167542603012492,0.0407529607223906,0.0163334808769942,0.00469374995958168,0.00150007142082117,0.0442389062857213,0.0233732888209758,0.62
"Acropora.abrolhosensis",0,0,0,0,0,0.14,0,0.02
"Acropora.abrotanoides",0,0.272651198041882,0.0114154972006252,0.000455620795166044,0,0.00107356409228991,0.00159566601113245,0.01
"Acropora.aculeus",0.00743794971299216,0,0.0685233420156281,0,0,0,0,0.03
"Acropora.anthocercis",0,0,0,0.0212765957446809,0,0,0,0.47
"Acropora.austera",0.00625577442287251,0.143212730504017,0.00325606534553728,0.00467847505963573,0,0.00918644569487584,0.0013654051270624,0.01
"Acropora.Bushy.arborescent",0.000706099367779396,0.00260103950784043,0.0357778147047276,0.0739953939662572,0,0.0215646983516034,0.00231866744236382,0.23
"Acropora.bushyensis",0,0,0,0,0,0.02,0,0.55
"Acropora.carduus",0,0,0,0.0600656718011693,0,0.00117942283563363,0,0.08
"Acropora.caroliniana",0,0,0,0,0,0,0.0517241379310345,0.09
"Acropora.cerealis",0.000573413036033163,0.00469392530630322,0,0.0337350648089044,0,0.180526536649552,0.0389205802764691,0.01
"Acropora.clathrata",0,0,0,0.0239852780017782,0,0,0.0215251946427175,0.46
"Acropora.cytherea",7.79717491576285e-05,0.00114888985493485,0.110941712693213,0.00206425705488295,0.00263885638555349,0.0450319786652149,0.0221701589509712,0.01
"Acropora.Digitate",0,0.00875753203556425,0.0328531612940969,0,0,0.0308965730214707,0.017603576582784,0.43
"Acropora.digitifera",0,0,0.484338794335167,0,0.00109202478094016,0.0167735006352408,0.00324101528326591,0.01
"Acropora.divaricata",0,0,0.00786002050461945,0.00941138715922066,0.0036093323324164,0.0511427954174074,0,0.14
"Acropora.donei",0,0,0,0,0,0.00734177215189873,0.0109122653862942,0.96
"Acropora.efflorescens",0,0,0,0,0,0.02,0,0.59
"Acropora.elseyi",0,0.0476147420306725,0,0.000475285224887428,0.0492142997707654,0.00335969619768425,0,0.16
"Acropora.florida",0.000195939072426604,0,0.0256728336257708,0.0342943048942373,0.00884175064325049,0.0275013812007663,0.000378481597095146,0.56
"Acropora.gemmifera",0,0.137986078203189,0,0.000960950348273022,0,0.0148308720444213,0.0327427421762946,0.01
"Acropora.glauca",0,0,0.0434782608695652,0,0,0,0,0.13
"Acropora.globiceps",0,0.0476190476190476,0,0,0,0,0,0.11
"Acropora.grandis",0,0,0,0.0291004876213174,0,0,0.0340380657129063,0.35
"Acropora.granulosa",0,0,0,0.0138139091775167,0,0,0.00604734945959856,0.6
"Acropora.horrida",0,0,0,0.0212765957446809,0,0,0,0.46
"Acropora.humilis",0.00656457700992373,0.0100757325705037,0.00419980913382999,0.00452586946269003,0,0.113040046737784,0.0167750164707551,0.01
