"","X1","X2","X3","X4","X5","X6","X7","ind.Coral...pval..."
"Branching.Acropora",0.0899330301113997,0.00152029493392343,0.0141260648908191,0.0250102552395101,0.0330457090415739,0.086512290580992,0.0393312058035667,0.35
"Encrusting.corals",0.127701300771757,0.0601331494110684,0.104229739389944,0.0953020222720362,0.0479772782482583,0.0526174146354618,0.122493635551866,0.56
"Foliose.Plate.corals",0.00671220163065823,9.44082730030019e-05,0.059503356356608,0.143430934172131,0.097532114612478,0.03669155590214,0.00797256007666912,0.03
"Massive.corals",0.0102437108809144,0.061382943170324,0.0867117111201964,0.162560237901715,0.117884857120629,0.130142670396683,0.0974401847195686,0.07
"Montipora.Encrusting",0.0200247921912222,0.00778637102541382,0.081111541074965,0.033214001327956,0.0329793111535123,0.0514566092521057,0.40497498980009,0.01
"Porites.Massive",0.000315374725408214,0.0270516583466995,0.394065611562861,0.0134087893455873,0.00887264419647417,0,0.00311959588856522,0.01
"Acropora.muricata",0.00447662526462438,7.34585903799159e-05,0.0376407788054684,0.0475831767073169,0.0159313572244442,0.340973654618901,0.0129552238660385,0.01
"Acropora.Staghorn",0.00347272256874719,0.000205146654581002,0.0119452539272506,0.0226396312588394,0.0189388436488117,0.140565140326084,0.0149438058466935,0.02
"Bottlebrush.Acropora.corals",0,0.000298856969446073,0.00998661577125587,0,0.00131381166346515,0.102890257868273,0.0342013664235583,0.02
"Coral.Species",0.00677502409632986,0.0667345337812776,0.0012678784107599,0,0,0.0127579359519825,0.00927885271352536,0.22
"Corymbose.Acropora.corals",0.0830352253973947,0.024084635468257,0.0896655974930058,0.104294035415414,0.0127674963301452,0.0826514029115035,0.159927245433598,0.07
"Hydrocoral",0.153826842467668,0.000202559358153618,0.0343604001124054,0.000971917464519402,0.0425944174971701,0,0.00321327814800292,0.01
"Pavona.varians",0.00718951443838977,0.00764480505027267,0.0177490471157888,0.00169820352380711,0.012343493452337,0.0832275335384304,0.35813231480094,0.01
"Pocillopora.damicornis",0.00854636252256181,0.00112192324650307,0.155025990470521,0.032518900386877,0.00164403711191171,0.0316285909126616,0.00404674112176537,0.02
"Stony.corals",0.0428296613191637,0.00542165912594059,0.0273204020347132,0,0.0198618952743945,0,0.0554026059559088,0.37
"Stylophora.pistillata",0.166622945766218,0.0327287734659316,0.129201522687183,0.000509749898673526,0.0207052360158576,0.00066078690542359,0.0507770103399699,0.02
"Goniastrea.retiformis",0,0,0.00401095478367553,0.0115673333353179,0.0117756094203029,0.117020426388239,0.0591501786731393,0.02
"Lobophyllia.hemprichii",0.0245192871141612,0.0034709295483473,0.0187911391055578,0.0531522798850796,0.0176876205521131,0,0.0131703858711357,0.38
"Montipora.hispida",0,0.0185909521546596,0.00432283658634064,0.00434816968537784,0.000248988421647978,0,0,0.92
"Acropora.microphthalma",0,0,0.00563317620195689,0.023609117825789,0,0,0.0165570436700339,0.61
"Branching.corals",0.0412846929790524,0.0159728743939234,0.0325372603769462,0.0193516037768732,0.110073972695166,0.0280120437367595,0.144940547724431,0.07
"Digitate.corals",0.0696454133961249,0,0.00321489311551128,0.0442644657868545,0.00340834082375457,0.000990669112218519,0.113349067704389,0.03
"Leptastrea.Submassive",0.00282062228780074,0.0229108911018787,0.01484214805237,0.0119924416998331,0.00732502325433018,0.00272050760783251,0.0606211338667233,0.23
"Pocillopora.verrucosa",0.00732983784441132,0.13496270513756,0.0544571869797301,0.0103880921831226,0.00423005415767043,0,0.228400617253777,0.01
"Porites.Hemispherical",0,0,0.00219111705240628,0,0.0726583524922285,0.188361084832359,0.421195170860815,0.01
"Sub.massive.corals",0.104325850891708,0.0743496464431068,0.0867759659167521,0.084604737996458,0.0792627600918953,0.0414094443845051,0.183898521586586,0.09
"Tabular.Acropora.corals",0.00501575621865393,0.00298454643993374,0.0215203130220237,0.154023952087654,0.00568551963086546,0.0122522951512904,0.109218367964228,0.03
"Acropora.elseyi",0.0393781700581773,0,0.000178627930660189,0,0.0374965261980567,0.00759609761924717,0,0.3
"Astreopora.myriophthalma",0.00120366574143064,0.0902444570375198,0.0415494512699034,0.00506645018765091,0.00618920923200568,0.00656762061329317,0.0134729349452024,0.1
"Millepora.exaesa",0.161564414818614,0.008395780510209,0.0346822260728104,0.000212023768464044,0.0414631273582105,0.00503393312286427,0.319321684947203,0.01
"Montipora.Submassive",0.00297346114775851,0.00928369602455652,0.0163108434472031,0.236363722793809,0.000641335502578588,0.016764367661118,0.0325655478185781,0.01
"Montipora.grisea",0.00216823901332607,0.000666046955916032,0.0139915731530609,0.0199738571246928,0.00122000983268553,0.0294133540433898,0.242844451004189,0.01
"Porites.rus",0.00236142632772433,0,0.0661697368097273,0.000557782106888778,0.0109306365441033,0.000723050879011047,0.0816318935660891,0.33
"Acropora.longicyathus",0.0885697723664663,0,0.0232203736748036,0,0,0.00418956775273968,0.00199357959731729,0.1
"Large.polyp.stony.corals..free.living.",0,0,0.00476686529585692,0,0.0729627769154891,0.037671120927097,0.0284670585138502,0.04
"Porites.cylindrica",0.000868610917381592,0.000256560408016774,0.0121610752982487,0.00287239059980685,0.39333450667826,0.0364894724439787,0.0049313451758259,0.01
"Fungia",0.00331408899064887,0.000978877891850446,0.00228238756673779,0.00293552383667169,0.0989751300011998,0.138691068082624,0.0387642698700012,0.02
"Acropora.cerealis",0.00290501678485326,0.000214512699732193,0.020557347693656,0,0.00251473059630649,0.0818991101042935,0.156719108553329,0.01
"Cyphastrea.Encrusting",0.00550267947878828,0.00164190373010935,0.00150532217313559,0.00194964550694029,0.0297712489113805,0.00265368416222429,0.208160553493166,0.01
"Montipora.tuberculosa",0,0,0.00126221087233031,0.00164311615636499,0.0200724162037939,0.0498550811553825,0.152914983478842,0.01
"Merulina.ampliata",0,0.00193953053142145,0.0131117761256894,0.0977153953449472,0.0690402576874532,0.00316670262691958,0.00512792162160073,0.1
"Diploastrea.heliopora",0,0,0.0279551502606438,0,0.00309689597173759,0,0.15919272496143,0.01
"Isopora.brueggemanni",0,0,0.000277889585648937,0,0.0313112296656108,0.458397925849278,0.016865539662128,0.01
"Montipora.aequituberculata",0.00700588508641639,0,0.00195220126932197,0.243234951646252,0.000186663259824678,0,0,0.01
