SiteID,long,lat
1,113.7,-23.1
2,113.8,-23.3
3,113.8,-23.2
4,113.8,-23.1
5,113.8,-23
6,113.8,-22.9
7,114.2,-21.9
8,114.2,-21.8
9,118.9,-17.6
10,119,-17.6
11,119,-17.5
12,119.3,-17.3
13,119.3,-17.2
14,119.4,-17.4
15,119.4,-17.3
16,119.4,-17.2
17,119.6,-17.2
18,119.6,-17.1
19,119.6,-17
20,119.7,-17.1
21,121.7,-14.1
22,121.8,-14.1
23,121.8,-14
24,121.9,-14.1
25,121.9,-13.9
26,122,-14.1
27,122,-13.6
28,123,-16.4
29,123,-15.9
30,123,-12.2
31,123.1,-16.4
32,123.1,-12.2
33,123.2,-15.5
34,123.3,-15.5
35,123.3,-15.4
36,123.3,-12
37,123.4,-15.8
38,123.4,-12
39,123.6,-14.1
40,123.6,-12.5
41,124,-12.6
42,124.3,-15.1
43,124.3,-12.8
44,125,-14.5
45,125.4,-14.1
46,125.6,-13.9
47,127.3,-13.8
48,143.1,-10.5
49,143.4,-12.4
50,143.4,-12.3
51,143.6,-12.6
52,143.6,-12.2
53,143.7,-11.8
54,143.7,-10.3
55,143.8,-12.9
56,143.8,-12.4
57,143.9,-10.1
58,144,-10
59,144.2,-10
60,144.3,-13.8
61,144.4,-10.4
62,144.5,-14
63,144.5,-10.4
64,144.5,-10.3
65,144.5,-10.1
66,144.6,-10.2
67,144.6,-10.1
68,144.7,-14
69,144.7,-10.1
70,144.7,-10
71,145.4,-14.7
72,145.5,-14.7
73,145.5,-14.6
74,145.5,-14.5
75,145.6,-16.4
76,145.7,-14.7
77,145.8,-16
78,146,-16.5
79,146.5,-13.8
80,146.6,-13.9
81,146.7,-14
82,147.1,-15.5
83,147.7,-18.7
84,147.8,-16.5
85,147.9,-16.5
86,148.4,-17.7
87,148.5,-17.9
88,148.5,-17.8
89,148.5,-17.7
90,148.9,-20.1
91,148.9,-20
92,149.1,-19.8
93,149.2,-16.9
94,149.9,-17
95,150,-16.9
96,150,-16.3
97,150.3,-16.5
98,150.6,-17.8
99,150.7,-17.7
100,150.9,-23.2
101,151,-23.2
102,151.1,-17.4
103,151.7,-23.5
104,151.8,-23.5
105,151.8,-23.2
106,151.9,-23.3
107,151.9,-23.2
108,152.2,-19.3
109,152.3,-19.3
110,152.3,-19.2
111,152.4,-23.9
112,152.4,-19.1
113,152.5,-22.4
114,153.5,-21.9
115,153.6,-21.9
116,154.4,-21
117,154.4,-20.9
118,155.2,-22.2
119,155.3,-22.2
120,155.4,-22.2
121,155.5,-23.2
122,155.5,-22.2
123,155.6,-23.3
124,155.6,-23.2
125,155.8,-21.3
126,155.8,-21.2
