SiteLong_rd,SiteLat_rd,land_area_20km,reef_area_20km,pop2015_20km
113.7,-23.1,260.6213588,40.5,286
113.8,-23.3,719.7776826,38,288
113.8,-23.2,687.84036,40.75,288
113.8,-23.1,647.5848743,43.75,288
113.8,-23,623.6872487,40.5,290
113.8,-22.9,639.4215999,32.75,10
114.2,-21.9,308.156455,25,2475
114.2,-21.8,189.1608969,42.5,2419
118.9,-17.6,0.203901616,66,0
119,-17.6,0.203901616,66,0
119,-17.5,0.203901616,66,0
119.3,-17.3,0.408376679,64,0
119.3,-17.2,0.408376679,55.25,0
119.4,-17.4,0.408376679,64,0
119.4,-17.3,0.408376679,64,0
119.4,-17.2,0.408376679,55.25,0
119.6,-17.2,0,57,0
119.6,-17.1,0,57,0
119.6,-17,0,57,0
119.7,-17.1,0,57,0
121.7,-14.1,0.207421817,99.5,0
121.8,-14.1,0.207421817,181.75,0
121.8,-14,0.207421817,147.75,0
121.9,-14.1,0.207421817,190.25,0
121.9,-13.9,0,92.25,0
122,-14.1,0,91,0
122,-13.6,0,38.75,0
123,-16.4,268.8378402,52.25,654
123,-15.9,0,10.5,0
123,-12.2,2.298197619,110.5,0
123.1,-16.4,187.6628402,38.5,378
123.1,-12.2,2.298197619,110.5,0
123.2,-15.5,2.884388001,101,0
123.3,-15.5,2.884388001,86.25,0
123.3,-15.4,0.412080238,48.75,0
123.3,-12,0,77.25,0
123.4,-15.8,0,2,0
123.4,-12,0,95,0
123.6,-14.1,0.207365427,9.5,0
123.6,-12.5,0.417429497,36.75,0
124,-12.6,0,13.75,0
124.3,-15.1,4.126205976,5.75,0
124.3,-12.8,0,15,0
125,-14.5,133.2922451,45.25,0
125.4,-14.1,1.865932826,3.75,0
125.6,-13.9,0.830027488,36.25,0
127.3,-13.8,109.9834853,31.75,0
143.1,-10.5,0.210199954,50.5,0
143.4,-12.4,75.99542792,575.25,0
143.4,-12.3,7.726680653,656.75,0
143.6,-12.6,5.424625129,520,0
143.6,-12.2,0,942.5,0
143.7,-11.8,0,589.5,0
143.7,-10.3,0,122.75,0
143.8,-12.9,0,324.25,0
143.8,-12.4,0,448.75,0
143.9,-10.1,0,318.5,0
144,-10,5.264931174,339.5,404
144.2,-10,5.054349595,108,385
144.3,-13.8,0,179.25,0
144.4,-10.4,0,334.75,0
144.5,-14,10.36650002,115.75,0
144.5,-10.4,0,374,0
144.5,-10.3,0,587.25,0
144.5,-10.1,0,369.5,0
144.6,-10.2,0,443.25,0
144.6,-10.1,0,313.75,0
144.7,-14,0,209,0
144.7,-10.1,0,126,0
144.7,-10,0,32.75,0
145.4,-14.7,13.03075405,94.5,0
145.5,-14.7,12.20329613,187.5,0
145.5,-14.6,11.37653057,169,0
145.5,-14.5,7.860443406,156,0
145.6,-16.4,20.30356618,238,3757
145.7,-14.7,0,211.75,0
145.8,-16,0,229,0
146,-16.5,0.204913573,198,0
146.5,-13.8,0,40,0
146.6,-13.9,0,78.75,0
146.7,-14,0,58.5,0
147.1,-15.5,0,12.75,0
147.7,-18.7,0,308.5,0
147.8,-16.5,0.205050005,58,0
147.9,-16.5,0.205050005,102.5,0
148.4,-17.7,0.203681509,82.25,0
148.5,-17.9,0.407211802,44.5,0
148.5,-17.8,0.407211802,89.5,0
148.5,-17.7,0.407211802,112.25,0
148.9,-20.1,125.265802,93.75,481
148.9,-20,65.06370366,52.5,415
149.1,-19.8,0,216.25,0
149.2,-16.9,0,26.75,0
149.9,-17,0.204556699,31.25,0
150,-16.9,0.204556699,17.25,0
150,-16.3,0.616217652,99,0
150.3,-16.5,0,60.75,0
150.6,-17.8,0,25,0
150.7,-17.7,0,45,0
150.9,-23.2,220.3499248,46.25,22775
151,-23.2,33.62215242,45,2974
151.1,-17.4,0,40.75,0
151.7,-23.5,0.392173842,155.25,0
151.8,-23.5,0.588402604,194.25,0
151.8,-23.2,1.571737744,222,0
151.9,-23.3,1.375024293,284.25,0
151.9,-23.2,0.393002956,179.25,0
152.2,-19.3,0,45.25,0
152.3,-19.3,0,58.5,0
152.3,-19.2,0,82,0
152.4,-23.9,0.782538478,67.75,0
152.4,-19.1,0,61.5,0
152.5,-22.4,0,101,0
153.5,-21.9,0,32.5,0
153.6,-21.9,0,52.25,0
154.4,-21,0.598981356,29.5,0
154.4,-20.9,0.598981356,29.5,0
155.2,-22.2,0.1980227,27.25,0
155.3,-22.2,0.396080445,37,0
155.4,-22.2,0.198057745,30,0
155.5,-23.2,0.393033812,68.75,0
155.5,-22.2,0.198057745,21.25,0
155.6,-23.3,0.393033812,68.75,0
155.6,-23.2,0.393033812,68.75,0
155.8,-21.3,0,72,0
155.8,-21.2,0,97.75,0
