Region,SiteCode,SiteLong,SiteLat,SiteLong_rd,SiteLat_rd,Mean_SST_cl,SD_SST_cl,npp_mean,npp_min,npp_max,npp_sd,npp_interann_sd,npp_flag,wave_mean,wave_sd,wave_interann_sd
GBR,AIMS1,151.75731,-23.53652,151.8,-23.5,23.90876214,2.417687389,1383.370092,1021.29452,1811.582319,197.7714786,116.9786178,2,5.627761348,1.95431213,0.687166065
GBR,AIMS10,151.908633,-23.175483,151.9,-23.2,24.20563014,2.156956684,1489.629526,1139.897184,1796.612061,157.9401115,95.20916708,1,9.155167068,3.184336594,1.166145531
GBR,AIMS12,151.915433,-23.1778,151.9,-23.2,24.20563014,2.156956684,1442.557631,1058.827003,1770.516502,158.2270321,80.28624978,1,10.13129841,3.553272092,1.313403104
GBR,AIMS2,151.74968,-23.5341,151.7,-23.5,23.89148887,2.448589891,1383.370092,1021.29452,1811.582319,197.7714786,116.9786178,2,5.627761348,1.95431213,0.687166065
GBR,AIMS4,151.7747,-23.49835,151.8,-23.5,23.9530522,2.375504193,1383.370092,1021.29452,1811.582319,197.7714786,116.9786178,2,5.755215074,1.998546082,0.695927589
GBR,AIMS5,151.7789,-23.49845,151.8,-23.5,23.9530522,2.375504193,1383.370092,1021.29452,1811.582319,197.7714786,116.9786178,2,5.755215074,1.998546082,0.695927589
GBR,AIMS7,151.94545,-23.25245,151.9,-23.3,24.14808655,2.173217798,1423.802515,1110.537947,1797.95742,141.9435558,92.53804574,1,9.34648758,3.261714864,1.219379205
GBR,AIMS8,151.94255,-23.249566,151.9,-23.2,24.177701,2.161012535,1423.802515,1110.537947,1797.95742,141.9435558,92.53804574,1,9.34648758,3.261714864,1.219379205
GBR,COR11,145.99349,-16.52825,146,-16.5,26.21037992,1.901527361,1146.820481,846.3830109,1961.781786,244.0072893,112.8810727,1,7.287946508,2.474228604,0.813097649
GBR,COR12,145.8291,-15.9758,145.8,-16,26.30518468,1.786393677,725.7276096,514.5587082,1122.831062,141.7590174,74.02228214,2,10.01210217,3.680892626,1.188493459
GBR,COR13,145.81968,-15.96846,145.8,-16,26.30518468,1.786393677,725.7276096,514.5587082,1122.831062,141.7590174,74.02228214,2,10.01210217,3.680892626,1.188493459
GBR,COR14,145.80432,-15.9609,145.8,-16,26.30518468,1.786393677,725.7276096,514.5587082,1122.831062,141.7590174,74.02228214,1,10.3795611,3.816975454,1.235120508
GBR,CS1,152.23517,-19.29696,152.2,-19.3,25.77992646,1.537101042,626.7656041,400.2669983,893.914502,127.8486918,26.43851386,0,17.50817396,5.296239166,2.101123289
GBR,CS10,149.182624,-16.947773,149.2,-16.9,26.42536688,1.462871408,503.7209253,359.6265622,733.3130219,97.49255487,32.09469917,1,14.06394452,4.186165418,1.780958511
GBR,CS101,151.07258,-17.41432,151.1,-17.4,26.23865366,1.414672343,503.0768146,367.502366,643.9198316,80.87535091,24.73255108,1,17.42269235,4.929171584,2.076740538
