"site_code","pre_post","longitude","latitude","cluster","site_name","Mean_SST_cl","SD_SST_cl","npp_mean","npp_min","npp_max","npp_sd","npp_interann_sd","npp_flag","wave_mean","wave_sd","wave_interann_sd","land_area_20km","reef_area_20km","pop2015_20km","depth","MMM","maxDHW","maxSSTA","Year_Pre","Year_Post","interval","clust.prepost","Cyphastrea.Submassive"
"CS103","Post",151.07027,-17.43525,1,"East Diamond Islet lagoon",26.23865366,1.414672343,500.9543946,347.7218412,663.9452173,89.35401316,28.04149541,1,17.3299589,4.903831778,2.068266856,0,40.75,0,6,28.06956863,6.359999858,1.999999955,2013,2016,3,"Post_1",0.5
"CS103","Pre",151.07027,-17.43525,1,"East Diamond Islet lagoon",26.23865366,1.414672343,500.9543946,347.7218412,663.9452173,89.35401316,28.04149541,1,17.3299589,4.903831778,2.068266856,0,40.75,0,6,28.06956863,0,0,2013,2016,3,"Pre_1",0.5
"CS11","Post",149.19696,-16.93653,1,"NE Herald Cay Central",26.42536688,1.462871408,503.7209253,359.6265622,733.3130219,97.49255487,32.09469917,1,14.06394452,4.186165418,1.780958511,0,26.75,0,8.5,28.34103584,8.659999806,2.059999954,2012,2017,5,"Post_1",0.5
"CS11","Pre",149.19696,-16.93653,1,"NE Herald Cay Central",26.42536688,1.462871408,503.7209253,359.6265622,733.3130219,97.49255487,32.09469917,1,14.06394452,4.186165418,1.780958511,0,26.75,0,8.5,28.34103584,0,0,2012,2017,5,"Pre_1",3
"CS111","Post",150.7345,-17.71298,1,"Tregrosse Outlier Reef",26.14061848,1.476145749,615.0497245,388.1119878,835.0361904,122.0373569,26.52414851,1,16.36676321,4.615623041,1.971767955,0,45,0,9.75,28.07126617,6.059999865,1.849999959,2013,2016,3,"Post_1",0.5
"CS111","Pre",150.7345,-17.71298,1,"Tregrosse Outlier Reef",26.14061848,1.476145749,615.0497245,388.1119878,835.0361904,122.0373569,26.52414851,1,16.36676321,4.615623041,1.971767955,0,45,0,9.5,28.07126617,0,0,2013,2016,3,"Pre_1",0.5
"CS12","Pre",149.19332,-16.93007,1,"NE Herald Bommie",26.42536688,1.462871408,503.7209253,359.6265622,733.3130219,97.49255487,32.09469917,1,14.06394452,4.186165418,1.780958511,0,26.75,0,13,28.34103584,0,0,2012,2017,5,"Pre_1",2
"CS123","Pre",148.50514,-17.82899,1,"South Flinders Horseshoe NW",26.20020787,1.597087572,530.2951917,358.6515659,787.6234716,113.5821994,22.58502834,1,13.86234024,4.090312097,1.703357801,0.407211802,89.5,0,10.5,28.31949234,0,0,2013,2017,4,"Pre_1",1
"CS126","Pre",148.43873,-17.71666,1,"Flinders Ribbon Reef South Cay",26.20633809,1.597768803,588.7585067,407.5020729,848.2492576,117.377998,28.78794285,1,14.19393088,4.191657542,1.736260304,0.203681509,82.25,0,10,28.32816696,0,0,2013,2017,4,"Pre_1",1.5
"CS127","Pre",148.4373,-17.71505,1,"Flinders Ribbon Reef South Cay SW",26.20633809,1.597768803,588.7585067,407.5020729,848.2492576,117.377998,28.78794285,1,14.19393088,4.191657542,1.736260304,0.203681509,82.25,0,8,28.32816696,0,0,2013,2017,4,"Pre_1",1.5
