"site_code","longitude","latitude","cluster","optional","Acanthastrea.Submassive","Acropora.Arborescent.table","Acropora.Bottlebrush","Acropora.Branching","Acropora.Corymbose","Acropora.Digitate","Acropora.Staghorn","Acropora.Tabular","Alveopora.Branching","Alveopora.Submassive","Anacropora","Astrea","Astreopora.Encrusting","Astreopora.Hemispherical","Astreopora.Solid.plates","Astreopora.Submassive","Coeloseris","Coral.Branching","Coral.Columnar","Coral.Digitate","Coral.Encrusting","Coral.Foliose.Plate","Coral.massive","Coral.Submassive","Corals","Coscinaraea.Submassive","Ctenactis","Cycloseris","Cynarina","Cyphastrea.Encrusting","Cyphastrea.Hemispherical","Cyphastrea.Submassive","Diploastrea","Echinophyllia.Encrusting","Echinopora.branching","Echinopora.Branching","Echinopora.Encrusting","Echinopora.Plating","Echinopora.Submassive","Euphyllia","Favia.Hemispherical","Favia.Submassive","Favites.Encrusting","Favites.Hemispherical","Favites.Submassive","Fungia","Galaxea.Branching","Galaxea.Submassive","Gardineroseris","Goniastrea.Hemispherical","Goniastrea.Submassive","Goniopora","Goniopora.Columnar.or.digitate","Goniopora.Encrusting","Goniopora.Hemispherical","Heliofungia","Heliopora","Herpolitha","Hydnophora.Branching","Hydnophora.Encrusting","Isopora.Branching","Isopora.Columnar.or.digitate","Isopora.Encrusting","Isopora.Submassive","Leptastrea.Encrusting","Leptastrea.Submassive","Leptoria","Leptoseris.Encrusting","Lobophyllia.Hemispherical","Lobophyllia.Submassive","Merulina.Submassive","Millepora.Branching","Millepora.Submassive","Montipora.Branching","Montipora.Encrusting","Montipora.Foliose.plate","Montipora.Submassive","Mycedium.Foliose.Plate","Oulophyllia.Hemispherical","Oxypora.Encrusting.plate","Pachyseris","Pachyseris.Encrusting","Pachyseris.Foliose","Pachyseris.Submassive","Pavona.Branching","Pavona.Encrusting.plate","Pavona.Submassive","Pectinia.Branching","Pectinia.Encrusting","Phymastrea.Submassive","Physogyra","Platygyra.Hemispherical","Platygyra.Submassive","Pocillopora.Branching","Podabacia","Porites.Branching","Porites.Encrusting","Porites.Foliose.plate","Porites.Massive","Porites.Submassive","Psammocora.Branching","Psammocora.Encrusting","Psammocora.Submassive","Sandalolitha","Seriatopora","Stony.corals","Stylocoeniella","Stylophora","Symphyllia.Hemispherical","Symphyllia.Submassive","Tubastrea","Tubipora","Turbinaria.Encrusting","Turbinaria.Foliose.plates"
"CS1",152.23517,-19.29696,1,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CS10",149.18262,-16.94777,1,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"CS101",151.07258,-17.41432,1,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CS102",151.07128,-17.41703,1,TRUE,0,0,0.5,0.5,1.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
"CS103",151.07027,-17.43525,1,TRUE,0,0,0,0.5,5,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,2,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0
"CS104",151.07127,-17.4347,1,TRUE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CS11",149.19696,-16.93653,1,TRUE,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5,0,0,1.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CS110",150.73692,-17.71175,1,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"CS111",150.7345,-17.71298,1,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0
"CS113",150.63277,-17.77473,1,TRUE,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,2.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
