"","X1","X2","X3","X4","X5","X6","X7","ind.Coral...pval..."
"Acanthastrea.Submassive",0.0236538367199552,0.00622378648389491,0.0207537984075437,0.00248500664499562,0,0.00109787593575906,0.00979080798833885,0.71
"Acropora.Arborescent.table",5.39230310682417e-05,0.150724115783919,0.0918481487376666,0.0126896099911792,0.00243327677695441,0.022534868224588,0.00390597342317295,0.02
"Acropora.Bottlebrush",0.000315065774732467,0.0777601621781039,0,0.0656482116183731,0.00799725548520145,0.0367148667821942,0.00121718038300331,0.31
"Acropora.Branching",0.00432574016923704,0.070341991040296,0.0251316376306539,0.0639454553000427,0.00274773402501156,0.0823507757506953,0.00950369647081288,0.38
"Acropora.Corymbose",0.0250316766101304,0.0537094632920262,0.181442628042512,0.107870958056127,0.0317603597083819,0.158290958229968,0.0851222958177084,0.11
"Acropora.Digitate",0.000806455409824402,0.0672125037415003,0.328361956131973,0.00148266954873217,0.000609229358844746,0.0558876796027971,0.0269654621327429,0.01
"Acropora.Staghorn",0.000152158996999398,0.0143107419670298,0.0584576225265682,0.141134105046867,0.0210002684854721,0.191439002651095,0.00558125317841673,0.02
"Acropora.Tabular",0.0022202857448003,0.00335540828413567,0.365504814678703,0.0165791953686147,0.00353235364286938,0.0671306469182171,0.0401629105579476,0.01
"Alveopora.Branching",0,0,0,0,0,0,0.0172413793103448,1
"Alveopora.Submassive",0.0136528090654652,0,0,0,0,0.00443579766536965,0,0.91
"Anacropora",0,0,0,0,0,0.0107407407407407,0.00798212005108557,0.87
"Astrea",0.0367624925271302,0.00372035764809767,0.0124058807017851,0.0148544836832148,0,0.0133879302181384,0.0120953649006286,0.49
"Astreopora.Encrusting",0,0,0.00714036563596446,0,0.0131154632688375,0,0.035931067029015,0.27
"Astreopora.Hemispherical",0.0839602423525375,0,0.0113582616774812,0.029920201313383,0.0026078647688314,0.0271284697296547,0.0142889903148336,0.07
"Astreopora.Solid.plates",0,0,0,0,0,0,0.0344827586206897,0.25
