"Region","SiteCode","SiteName","SiteLat","SiteLong","maxDHW_2017","maxSSTA_2017"
"GBR","AIMS1","Masthead Site 3",-23.53652,151.75731,1.74,2.47
"GBR","AIMS10","North Island Site 1",-23.175483,151.908633,3.07,2.18
"GBR","AIMS12","North Island Site 3",-23.1778,151.915433,3.07,2.18
"GBR","AIMS2","Masthead Site 1",-23.5341,151.74968,2.06,2.41
"GBR","AIMS4","Erskyne Island Site 1",-23.49835,151.7747,1.72,2.42
"GBR","AIMS5","Erskyne Island Site 2",-23.49845,151.7789,1.72,2.42
"GBR","AIMS7","Broomfield Reef Site 2",-23.25245,151.94545,3.09,2.14
"GBR","AIMS8","Broomfield Reef Site 1",-23.249566,151.94255,2.98,2.14
"GBR","COR11","Hastings Reef",-16.52825,145.99349,10.09,2.74
"GBR","COR12","Agincourt Reef - The Gap",-15.9758,145.8291,7.86,2.61
"GBR","COR13","Agincourt Reef - The Point",-15.96846,145.81968,7.86,2.61
"GBR","COR14","Agincourt Reef - Three Sisters",-15.9609,145.80432,7.86,2.61
"GBR","CS1","Long Reef West",-19.29696,152.23517,5.86,2.21
"GBR","CS10","NE Herald Cay SW",-16.947773,149.182624,7.38,2.03
"GBR","CS101","Diamond Cay Islet",-17.41432,151.07258,10.6,1.95
"GBR","CS102","East Diamond Islet NW",-17.41703,151.07128,10.6,1.95
"GBR","CS103","East Diamond Islet lagoon",-17.43525,151.07027,10.6,1.95
"GBR","CS104","East Diamond Islet Tower",-17.4347,151.07127,10.6,1.95
"GBR","CS11","NE Herald Cay Central",-16.93653,149.19696,7.38,2.03
"GBR","CS110","Tregrosse Outlier Reef Down",-17.71175,150.736917,10.63,2.2
"GBR","CS111","Tregrosse Outlier Reef",-17.71298,150.7345,10.63,2.2
"GBR","CS113","Tregosse Reef",-17.77473,150.63277,10.75,2.34
"GBR","CS12","NE Herald Bommie",-16.93007,149.19332,7.38,2.03
"GBR","CS122","South Flinders Horseshoe centre",-17.87718,148.51165,6.15,2.27
"GBR","CS123","South Flinders Horseshoe NW",-17.82899,148.50514,5.91,2.25
"GBR","CS126","Flinders Ribbon Reef South Cay",-17.71666,148.43873,5.2,2.16
"GBR","CS127","Flinders Ribbon Reef South Cay SW",-17.71505,148.4373,5.2,2.16
"GBR","CS128","Flinders Cay Storm Bommie",-17.70575,148.4606,5.47,2.21
"GBR","CS129","Flinders Ribbon Reef South Cay E bommie",-17.70304,148.46176,5.47,2.21
"GBR","CS13","NE Herald Back Reef",-16.92822,149.20228,6.86,2.02
"GBR","CS130","Chilcott Islet bommie",-16.93133,149.999,8.26,2
"GBR","CS131","Chilcott Islet Haven",-16.93012,150.00203,8.28,2
"GBR","CS132","Chilcott Islet SW inner reef",-16.93157,149.99043,8.26,2
"GBR","CS134","Chilcott Islet inshore reef",-16.9366,150.00092,8.28,2
"GBR","CS139","Magdelaine Cay SW",-16.53378,150.26845,9.77,2.01
"GBR","CS140","Magdelaine Cay gulch",-16.53091,150.26973,9.77,2.01
"GBR","CS141","Magdelaine Reef Cruise Ship",-16.52097,150.27712,9.77,2.01
"GBR","CS143","South Willis islet south",-16.29907,149.96294,8.08,1.99
"GBR","CS144","Willis Islet Dark Wall",-16.28601,149.95958,8.08,1.99
"GBR","CS145","South Willis islet anchorage bommie",-16.2927,149.96138,8.08,1.99
