site_code,site_name,survey_dat,latitude,longitude,year,impacted_hours
NMP-B3,Bundegi Nth,27/05/2010 0:00,-21.82729,114.1801,2015,4
NMP-B4,Nth Bundegi,26/05/2010 0:00,-21.8559,114.16763,2015,4
NMP-B5,Sth Bundegi,29/05/2010 0:00,-21.86971,114.15813,2015,4
NMP-BF1,Bundegi,31/07/2012 0:00,-21.83921,114.17564,2015,4
NMP-BF2,Bundegi SZ North,1/08/2012 0:00,-21.85245,114.16954,2015,4
NMP-BF3,Bundegi SZ South,1/08/2012 0:00,-21.86648,114.15926,2015,4
NMP-BF4,Bundegi RZ,31/07/2012 0:00,-21.83633,114.17777,2015,4
NWS160,Bundegi Sponge Garden,31/10/2013 0:00,-21.94178,114.16068,2015,3
WA174,Whale sands,3/11/2013 0:00,-21.98085,114.13963,2015,3
NMP15,A & D s Dilemma,1/06/2010 0:00,-21.90414,113.943275,2015,4
NMP18,Rick s Folly,25/05/2010 0:00,-21.91842,113.95551,2015,3
NMP23,Kate s Corner,28/05/2010 0:00,-21.97653,113.91861,2015,4
NMP-BF1,Bundegi,31/07/2012 0:00,-21.83921,114.17564,2015,4
NMP-BF2,Bundegi SZ North,28/07/2017 0:00,-21.85245,114.16954,2015,4
NMP-BF3,Bundegi SZ South,1/08/2012 0:00,-21.86648,114.15926,2015,4
NMP-BF4,Bundegi RZ,27/07/2017 0:00,-21.83633,114.17777,2015,4
NMP16,Nth Muiron,30/05/2010 0:00,-21.64135,114.35673,2015,4
NMP17,Sth Muiron,30/05/2010 0:00,-21.66711,114.33362,2015,4
NWS155,Airlie island,29/10/2013 0:00,-21.31958,115.17213,2015,3
NWS156,Airlie Island inner reef,29/10/2013 0:00,-21.32233,115.17332,2015,3
NWS157,North Muiron Island NE,30/10/2013 0:00,-21.63678,114.39077,2015,4
NWS158,North Muiron Island East,30/10/2013 0:00,-21.65079,114.37691,2015,4
NWS159,South Muiron Island NE Channel,30/10/2013 0:00,-21.67022,114.35251,2015,4
NWS157,North Muiron Island NE,30/10/2013 0:00,-21.63678,114.39077,2015,4
NWS158,North Muiron Island East,30/10/2013 0:00,-21.65079,114.37691,2015,4
NWS154,Barrow Shelf,29/10/2013 0:00,-21.0778,115.5132,2015,3
NWS152,Barrow south shelf,28/10/2013 0:00,-20.951,115.4629,2015,3
NWS153,Barrow Island deep south,28/10/2013 0:00,-20.9946,115.4799,2015,3
NWS150,Barrow south reef,28/10/2013 0:00,-20.8999,115.4508,2015,5
NWS124,Goodwyn N,18/10/2013 0:00,-20.53126,116.53544,2013,10
NWS125,Goodwyn South Bay,18/10/2013 0:00,-20.54011,116.54071,2013,12
NWS126,Enderby SW Bay,19/10/2013 0:00,-20.61514,116.47628,2013,8
NWS137,Montebellos SE,24/10/2013 0:00,-20.5066,115.5647,2015,4
NWS138,Montebellos South,25/10/2013 0:00,-20.5085,115.5433,2015,4
NWS140,South West Reef,25/10/2013 0:00,-20.5097,115.4773,2015,4
NWS141,Varanus North bommie,26/10/2013 0:00,-20.55596,115.5725,2015,4
NWS142,Varanus Island north,26/10/2013 0:00,-20.555,115.5731,2015,4
NWS143,Varanus Port limit,26/10/2013 0:00,-20.57663,115.5774,2015,4
NWS144,Varanus Island,26/10/2013 0:00,-20.629,115.5832,2015,4
NWS145,North Cormorant Island,27/10/2013 0:00,-20.7348,115.4946,2015,4
NWS146,Barrow Port South,27/10/2013 0:00,-20.80068,115.504,2015,4
NWS147,Barrow Island Port Central,27/10/2013 0:00,-20.7837,115.5001,2015,4
NWS148,Barrow Island East,27/10/2013 0:00,-20.7848,115.5251,2015,4
NWS149,Barrow NE bommie,27/10/2013 0:00,-20.7556,115.5745,2015,4
WA184,False Seal Rock,7/06/2021 0:00,-20.51441,116.646049,2013,14
WA65,Dead Tree Beach,6/06/2010 0:00,-20.62176,116.50736,2013,8
WA66,Little Mangrove Bay,6/06/2010 0:00,-20.6195,116.51852,2013,8
