Region,SiteCode,SiteName,SiteLat,SiteLong,maxDHW,maxSSTA,Mean_SST_cl,SD_SST_cl,Jan_SST_cl,Feb_SST_cl,Mar_SST_cl,Apr_SST_cl,May_SST_cl,Jun_SST_cl,Jul_SST_cl,Aug_SST_cl,Sep_SST_cl,Oct_SST_cl,Nov_SST_cl,Dec_SST_cl
GBR,AIMS1,Masthead Site 3,-23.53652,151.75731,0,1.699999962,23.90876214,2.417687389,26.93375015,27.14776611,26.3216362,25.21289063,23.72003937,22.05352211,20.81899071,20.50209808,21.23298454,22.76062775,24.33059883,25.87024117
GBR,AIMS10,North Island Site 1,-23.175483,151.908633,0,1.77999996,24.20563014,2.156956684,26.84298897,27.18538284,26.50107956,25.4858551,24.22419167,22.79083061,21.66707993,21.23591042,21.61983681,22.80686378,24.31641197,25.79113007
GBR,AIMS12,North Island Site 3,-23.1778,151.915433,0,1.77999996,24.20563014,2.156956684,26.84298897,27.18538284,26.50107956,25.4858551,24.22419167,22.79083061,21.66707993,21.23591042,21.61983681,22.80686378,24.31641197,25.79113007
GBR,AIMS2,Masthead Site 1,-23.5341,151.74968,0,1.719999962,23.89148887,2.448589891,26.96058083,27.16466522,26.33088684,25.20011902,23.67737198,21.98431969,20.74953651,20.43171883,21.20985794,22.76515388,24.33978844,25.88386726
GBR,AIMS4,Erskyne Island Site 1,-23.49835,151.7747,0,1.699999962,23.9530522,2.375504193,26.92246628,27.15234947,26.34496307,25.24102783,23.77945137,22.15300941,20.95198441,20.62093353,21.2984314,22.77025223,24.33295059,25.86880684
GBR,AIMS5,Erskyne Island Site 2,-23.49845,151.7789,0,1.699999962,23.9530522,2.375504193,26.92246628,27.15234947,26.34496307,25.24102783,23.77945137,22.15300941,20.95198441,20.62093353,21.2984314,22.77025223,24.33295059,25.86880684
GBR,AIMS7,Broomfield Reef Site 2,-23.25245,151.94545,0,1.719999962,24.14808655,2.173217798,26.81694794,27.13696861,26.44608688,25.41680908,24.14585686,22.68696594,21.56720734,21.15195274,21.56090927,22.78280067,24.28686142,25.77767181
GBR,AIMS8,Broomfield Reef Site 1,-23.249566,151.94255,0,1.749999961,24.177701,2.161012535,26.82454491,27.15764999,26.47477722,25.45222855,24.18828773,22.74554062,21.62637138,21.20328712,21.59262657,22.79278564,24.29643822,25.77787399
GBR,COR11,Hastings Reef,-16.52825,145.99349,4.729999894,2.609999942,26.21037992,1.901527361,28.55816269,28.6825695,27.99301529,26.97379112,25.67395782,24.20075035,23.62122917,23.65860367,24.47785378,25.7085762,27.08203888,27.89401054
GBR,COR12,Agincourt Reef - The Gap,-15.9758,145.8291,6.059999865,2.389999947,26.30518468,1.786393677,28.45782852,28.67864609,28.07670403,27.05987549,25.85953903,24.53461838,23.97460938,23.85978127,24.59025383,25.6592617,27.02067757,27.89042091
GBR,COR13,Agincourt Reef - The Point,-15.96846,145.81968,6.059999865,2.389999947,26.30518468,1.786393677,28.45782852,28.67864609,28.07670403,27.05987549,25.85953903,24.53461838,23.97460938,23.85978127,24.59025383,25.6592617,27.02067757,27.89042091
GBR,COR14,Agincourt Reef - Three Sisters,-15.9609,145.80432,6.059999865,2.389999947,26.30518468,1.786393677,28.45782852,28.67864609,28.07670403,27.05987549,25.85953903,24.53461838,23.97460938,23.85978127,24.59025383,25.6592617,27.02067757,27.89042091
GBR,CS1,Long Reef West,-19.29696,152.23517,3.049999932,1.859999958,25.77992646,1.537101042,27.59571457,27.81085968,27.32761192,26.66254044,25.75779915,24.65338707,23.89141655,23.52952957,23.95368004,25.04765701,26.122509,27.00641251
GBR,CS10,NE Herald Cay SW,-16.947773,149.182624,8.659999806,2.059999954,26.42536688,1.462871408,28.21840668,28.34103584,27.88177872,27.13241005,26.32813835,25.27788544,24.5816803,24.39416504,24.71683121,25.72914505,26.79633713,27.70658875
GBR,CS101,Diamond Cay Islet,-17.41432,151.07258,6.359999858,1.999999955,26.23865366,1.414672343,27.96219063,28.06956863,27.65917778,26.98786926,26.09752083,25.17875671,24.55981445,24.18951988,24.51865196,25.58908844,26.61852837,27.43315697
GBR,CS102,East Diamond Islet NW,-17.41703,151.07128,6.359999858,1.999999955,26.23865366,1.414672343,27.96219063,28.06956863,27.65917778,26.98786926,26.09752083,25.17875671,24.55981445,24.18951988,24.51865196,25.58908844,26.61852837,27.43315697
GBR,CS103,East Diamond Islet lagoon,-17.43525,151.07027,6.359999858,1.999999955,26.23865366,1.414672343,27.96219063,28.06956863,27.65917778,26.98786926,26.09752083,25.17875671,24.55981445,24.18951988,24.51865196,25.58908844,26.61852837,27.43315697
GBR,CS104,East Diamond Islet Tower,-17.4347,151.07127,6.359999858,1.999999955,26.23865366,1.414672343,27.96219063,28.06956863,27.65917778,26.98786926,26.09752083,25.17875671,24.55981445,24.18951988,24.51865196,25.58908844,26.61852837,27.43315697
GBR,CS11,NE Herald Cay Central,-16.93653,149.19696,8.659999806,2.059999954,26.42536688,1.462871408,28.21840668,28.34103584,27.88177872,27.13241005,26.32813835,25.27788544,24.5816803,24.39416504,24.71683121,25.72914505,26.79633713,27.70658875
GBR,CS110,Tregrosse Outlier Reef Down,-17.71175,150.736917,6.059999865,1.849999959,26.14061848,1.476145749,27.96019173,28.07126617,27.60135651,26.91172028,25.98655128,25.05132866,24.33627129,24.0035305,24.39798737,25.46027374,26.53617668,27.37076759
GBR,CS111,Tregrosse Outlier Reef,-17.71298,150.7345,6.059999865,1.849999959,26.14061848,1.476145749,27.96019173,28.07126617,27.60135651,26.91172028,25.98655128,25.05132866,24.33627129,24.0035305,24.39798737,25.46027374,26.53617668,27.37076759
GBR,CS113,Tregosse Reef,-17.77473,150.63277,5.609999875,1.869999958,26.14958938,1.479726971,27.97006798,28.10355377,27.61216927,26.93227386,25.98329163,25.05489349,24.32093048,24.0325985,24.408041,25.46250534,26.54512787,27.36961937
GBR,CS12,NE Herald Bommie,-16.93007,149.19332,8.659999806,2.059999954,26.42536688,1.462871408,28.21840668,28.34103584,27.88177872,27.13241005,26.32813835,25.27788544,24.5816803,24.39416504,24.71683121,25.72914505,26.79633713,27.70658875
GBR,CS122,South Flinders Horseshoe centre,-17.87718,148.51165,5.519999877,2.169999951,26.20198377,1.603674078,28.25547218,28.31865501,27.72999763,27.01867676,25.91324997,24.89021683,24.19641876,23.98016167,24.41915703,25.46392632,26.65912056,27.57875252
GBR,CS123,South Flinders Horseshoe NW,-17.82899,148.50514,5.519999877,2.169999951,26.20020787,1.597087572,28.24723625,28.31949234,27.71888351,27.01031494,25.91274261,24.89732933,24.20679665,23.99468803,24.41568184,25.46137047,26.65458107,27.56337738
GBR,CS126,Flinders Ribbon Reef South Cay,-17.71666,148.43873,5.519999877,2.139999952,26.20633809,1.597768803,28.25774384,28.32816696,27.70798874,26.99809647,25.93079948,24.90234947,24.19914436,24.00429153,24.42567253,25.46815681,26.66592979,27.58771706
GBR,CS127,Flinders Ribbon Reef South Cay SW,-17.71505,148.4373,5.519999877,2.139999952,26.20633809,1.597768803,28.25774384,28.32816696,27.70798874,26.99809647,25.93079948,24.90234947,24.19914436,24.00429153,24.42567253,25.46815681,26.66592979,27.58771706
GBR,CS128,Flinders Cay Storm Bommie,-17.70575,148.4606,5.82999987,2.159999952,26.20277119,1.591672835,28.24847031,28.31719589,27.70684052,27.00020981,25.92319107,24.90772629,24.21221352,24.01220894,24.41838455,25.46299553,26.65733147,27.56648636
GBR,CS129,Flinders Ribbon Reef South Cay E bommie,-17.70304,148.46176,5.82999987,2.159999952,26.20277119,1.591672835,28.24847031,28.31719589,27.70684052,27.00020981,25.92319107,24.90772629,24.21221352,24.01220894,24.41838455,25.46299553,26.65733147,27.56648636
GBR,CS13,NE Herald Back Reef,-16.92822,149.20228,8.9399998,2.069999954,26.42659076,1.459770663,28.21845055,28.3393116,27.88589096,27.12786674,26.33023643,25.28502464,24.58032799,24.40891457,24.71573448,25.73542213,26.79318047,27.69872856
