Final_grouping,original_label,Species_comments
Acanthastrea Submassive,Acanthastrea,
Acanthastrea Submassive,Acanthastrea brevis,
Acanthastrea Submassive,Acanthastrea echinata,
Acanthastrea Submassive,Acanthastrea Encrusting,
Acanthastrea Submassive,Acanthastrea Hemispherical,
Acanthastrea Submassive,Acanthastrea hemprichii,
Acanthastrea Submassive,Acanthastrea hillae,
Acanthastrea Submassive,Acanthastrea Submassive,
Acropora Arborescent table,Acropora abrotanoides,Mostly A. abrotanoides
Acropora Arborescent table,Acropora Arborescent table,Mostly A. abrotanoides
Acropora Arborescent table,Acropora donei,Mostly A. abrotanoides
Acropora Arborescent table,Acropora florida,Mostly A. abrotanoides
Acropora Arborescent table,Acropora papillare,Mostly A. abrotanoides
Acropora Arborescent table,Acropora robusta,Mostly A. abrotanoides
Acropora Arborescent table,Acropora sukarnoi,Mostly A. abrotanoides
Acropora Arborescent table,Acropora valenciennesi,Mostly A. abrotanoides
Acropora Bottlebrush,Acropora carduus,
Acropora Bottlebrush,Acropora echinata,
Acropora Bottlebrush,Acropora elseyi,
Acropora Bottlebrush,Acropora longicyathus,
Acropora Bottlebrush,Acropora striata,
Acropora Bottlebrush,Acropora subglabra,
Acropora Bottlebrush,Acropora turaki,
Acropora Bottlebrush,Bottlebrush Acropora corals,
Acropora Branching,Acropora austera,
Acropora Branching,Acropora Bushy arborescent,
Acropora Branching,Acropora horrida,
Acropora Branching,Acropora lovelli,
Acropora Branching,Acropora pulchra,
Acropora Branching,Acropora vaughani,
Acropora Branching,Acropora yongei,
Acropora Branching,Branching Acropora,
Acropora Corymbose,Acropora,
Acropora Corymbose,Acropora aculeus,
Acropora Corymbose,Acropora anthocercis,
Acropora Corymbose,Acropora bushyensis,
Acropora Corymbose,Acropora caroliniana,
Acropora Corymbose,Acropora cerealis,
Acropora Corymbose,Acropora chesterfieldensis,
Acropora Corymbose,Acropora divaricata,
Acropora Corymbose,Acropora Encrusting,
Acropora Corymbose,Acropora granulosa,
Acropora Corymbose,Acropora listeri,
Acropora Corymbose,Acropora loripes,
Acropora Corymbose,Acropora millepora,
Acropora Corymbose,Acropora nana,
Acropora Corymbose,Acropora nasuta,
Acropora Corymbose,Acropora polystoma,
Acropora Corymbose,Acropora samoensis,
Acropora Corymbose,Acropora sarmentosa,
Acropora Corymbose,Acropora secale,
Acropora Corymbose,Acropora selago,
Acropora Corymbose,Acropora seriata,
Acropora Corymbose,Acropora spathulata,
Acropora Corymbose,Acropora subulata,
Acropora Corymbose,Acropora tenuis,
Acropora Corymbose,Acropora valida,
Acropora Corymbose,Acropora verweyi,
Acropora Corymbose,Corymbose Acropora corals,
Acropora Digitate,Acropora Digitate,Mostly A digitifera
Acropora Digitate,Acropora digitifera,Mostly A digitifera
Acropora Digitate,Acropora gemmifera,Mostly A digitifera
Acropora Digitate,Acropora globiceps,Mostly A digitifera
Acropora Digitate,Acropora humilis,Mostly A digitifera
Acropora Digitate,Acropora lutkeni,Mostly A digitifera
Acropora Digitate,Acropora monticulosa,Mostly A digitifera
Acropora Staghorn,Acropora abrolhosensis,Mostly A. muricata and A. intermedia
Acropora Staghorn,Acropora grandis,Mostly A. muricata and A. intermedia
Acropora Staghorn,Acropora intermedia,Mostly A. muricata and A. intermedia
Acropora Staghorn,Acropora loisetteae,Mostly A. muricata and A. intermedia
Acropora Staghorn,Acropora microphthalma,Mostly A. muricata and A. intermedia
Acropora Staghorn,Acropora muricata,Mostly A. muricata and A. intermedia
Acropora Staghorn,Acropora Staghorn,Mostly A. muricata and A. intermedia
Acropora Tabular,Acropora clathrata,
Acropora Tabular,Acropora cytherea,
Acropora Tabular,Acropora efflorescens,
Acropora Tabular,Acropora glauca,
Acropora Tabular,Acropora hyacinthus,
Acropora Tabular,Acropora latistella,
Acropora Tabular,Acropora microclados,
Acropora Tabular,Acropora paniculata,
Acropora Tabular,Acropora Perforated plate,
Acropora Tabular,Acropora spicifera,
Acropora Tabular,Tabular Acropora corals,
Alveopora Branching,Alveopora catalai,
Alveopora Submassive,Alveopora Hemispherical,
Alveopora Submassive,Alveopora spongiosa,
Alveopora Submassive,Alveopora Submassive,
Anacropora,Anacropora Branching,
Astrea,Astrea annuligera,
Astrea,Astrea curta,
Astreopora Encrusting,Astreopora Encrusting,
Astreopora Encrusting,Astreopora incrustans,
Astreopora Hemispherical,Astreopora myriophthalma,Predominantly A. microphthalma
Astreopora Solid plates,Astreopora expansa,
Astreopora Solid plates,Astreopora Solid plates,
Astreopora Submassive,Astreopora cucullata,
Astreopora Submassive,Astreopora gracilis,
Astreopora Submassive,Astreopora Hemispherical,
Astreopora Submassive,Astreopora listeri,
Astreopora Submassive,Astreopora ocellata,
Astreopora Submassive,Astreopora Submassive,
Coeloseris,Coeloseris mayeri,
Coral Branching,Branching corals,
Coral Columnar,Columnar corals,
Coral Digitate,Digitate corals,
Coral Encrusting,Encrusting corals,
Coral Foliose Plate,NA,
Coral massive,Massive corals,
Coral Submassive,Sub-massive corals,
Corals,Corals,
Coscinaraea Submassive,Coscinaraea columna,Predominantly C. columna
Coscinaraea Submassive,Coscinaraea Encrusting,Predominantly C. columna
Coscinaraea Submassive,Coscinaraea exesa,Predominantly C. columna
Coscinaraea Submassive,Coscinaraea Submassive,Predominantly C. columna
Ctenactis,Ctenactis,Mainly C. crassa or C. echinata
Ctenactis,Ctenactis crassa,Mainly C. crassa or C. echinata
Ctenactis,Ctenactis echinata,Mainly C. crassa or C. echinata
Cycloseris,Cycloseris patelliformis,
Cynarina,Cynarina lacrymalis,
Cyphastrea Encrusting,Cyphastrea Encrusting,
Cyphastrea Hemispherical,Cyphastrea Hemispherical,
