"Indicator.taxa","Species"
"Coscinaraea Submassive ",NA
"Isopora Columnar or digitate","Predominantly I. palifera"
"Porites Encrusting","Predominantly P. lichen"
"Isopora Encrusting",""
"Isopora Submassive",""
"Acropora Arborescent table ",NA
"Galaxea Branching ",NA
"Millepora Submassive ",NA
"Leptoria ",NA
"Acropora Digitate","Mostly A digitifera"
"Acropora Tabular",""
"Echinopora Branching","Mostly E. horrida or e. mammiformis"
"Montipora Foliose plate",""
"Favites Hemispherical ",NA
"Platygyra Hemispherical ",NA
"Galaxea Submassive ",NA
"Merulina Submassive ",NA
"Acropora Corymbose ",NA
"Cyphastrea Submassive ",NA
"Lobophyllia Hemispherical ",NA
"(None)",NA
"Ctenactis","Mainly C. crassa or C. echinata"
"Goniopora Hemispherical",""
"Porites Branching","Predominantly P. cylindrica"
"Seriatopora","S. hystrix and S. caliendrum"
"Oxypora Encrusting plate ",NA
"Herpolitha ",NA
"Echinopora Plating ",NA
"Goniopora Columnar or digitate ",NA
"Platygyra Submassive ",NA
"Mycedium Foliose Plate ",NA
"Isopora Branching","Predominantly I. brueggemanni"
"Pavona Submassive","Mostly P. varians"
"Acropora Staghorn","Mostly A. muricata and A. intermedia"
"Goniastrea Hemispherical","Mostly G. edwardsi"
"Fungia ",NA
"Porites Massive ",NA
"Phymastrea Submassive ",NA
"Goniastrea Submassive ",NA
"Porites Submassive","P. vaughani, P. rus, P. lichen"
"Pocillopora Branching","Mostly P damicornis and P. verrucosa"
"Montipora Encrusting ",NA
"Heliopora ",NA
"Physogyra ",NA
"Porites Massive ",NA
"Leptastrea Encrusting ",NA
"Diploastrea ",NA
