Cluster,Indicator taxa,Pre,Post,Species_comments
1,Coscinaraea Submassive ,,Y,
2,Isopora Columnar or digitate,Y,Y,Predominantly I. palifera
,Porites Encrusting,Y,Y,Predominantly P. lichen
,Isopora Encrusting,Y,Y,
,Isopora Submassive,Y,Y,
,Acropora Arborescent table ,Y,,
,Galaxea Branching ,,Y,
,Millepora Submassive ,,Y,
,Leptoria ,,Y,
3,Acropora Digitate,Y,Y,Mostly A digitifera
,Acropora Tabular,Y,Y,
,Echinopora Branching,Y,Y,Mostly E. horrida or E. mammiformis
,Montipora Foliose plate,Y,Y,
,Favites Hemispherical ,Y,,
,Platygyra Hemispherical ,Y,,
,Galaxea Submassive ,Y,,
,Merulina Submassive ,,Y,
,Acropora Corymbose ,,Y,
,Cyphastrea Submassive ,,Y,
,Lobophyllia Hemispherical ,,Y,
4,(None),,,
5,Ctenactis,Y,Y,Mainly C. crassa or C. echinata
,Goniopora Hemispherical,Y,Y,
,Porites Branching,Y,Y,Predominantly P. cylindrica
,Seriatopora,Y,Y,S. hystrix and S. caliendrum
,Oxypora Encrusting plate ,Y,,
,Herpolitha ,,Y,
,Echinopora Plating ,,Y,
,Goniopora Columnar or digitate ,,Y,
,Platygyra Submassive ,,Y,
,Mycedium Foliose Plate ,,Y,
6,Isopora Branching,Y,Y,Predominantly I. brueggemanni
,Pavona Submassive,Y,Y,Mostly P. varians
,Acropora Staghorn,Y,Y,Mostly A. muricata and A. intermedia
,Goniastrea Hemispherical,Y,Y,Mostly G. edwardsi
,Fungia ,Y,,
,Porites Massive ,Y,,
,Phymastrea Submassive ,Y,,
,Goniastrea Submassive ,,Y,
7,Porites Submassive,Y,Y,"P. vaughani, P. rus, P. lichen"
,Pocillopora Branching,Y,Y,Mostly P damicornis and P. verrucosa
,Montipora Encrusting ,Y,,
,Heliopora ,Y,,
,Physogyra ,Y,,
,Porites Massive ,,Y,
,Leptastrea Encrusting ,,Y,
,Diploastrea ,,Y,
