Genus_GF,Species
Acanthastrea Submassive,
Acropora Arborescent table,Mostly A. abrotanoides
Acropora Bottlebrush,
Acropora Branching,
Acropora Corymbose,
Acropora Digitate,Mostly A digitifera
Acropora Staghorn,Mostly A. muricata and A. intermedia
Acropora Tabular,
Alveopora Branching,
Alveopora Submassive,
Anacropora,
Astrea,
Astreopora Encrusting,
Astreopora Hemispherical,Predominantly A. microphthalma
Astreopora Solid plates,
Astreopora Submassive,
Coeloseris,
Coral Branching,
Coral Columnar,
Coral Digitate,
Coral Encrusting,
Coral Foliose Plate,
Coral massive,
Coral Submassive,
Corals,
Coscinaraea Submassive,Predominantly C. columna
Ctenactis,Mainly C. crassa or C. echinata
Cycloseris,
Cynarina,
Cyphastrea Encrusting,
Cyphastrea Hemispherical,
Cyphastrea Submassive,Mostly either C. serailia or C. microphthalma
Diploastrea,Is D. heliopora
Echinophyllia Encrusting,
Echinopora Branching,Mostly E. horrida or e. mammiformis
Echinopora branching,
Echinopora Encrusting,
Echinopora Plating,
Echinopora Submassive,
Euphyllia,
Favia Hemispherical,
Favia Submassive,
Favites Encrusting,
Favites Hemispherical,Predominantly F. complanata
Favites Submassive,
Fungia,
Galaxea Branching,Is G. horrescens
Galaxea Submassive,
Gardineroseris,
Goniastrea Hemispherical,Mostly G. edwardsi
Goniastrea Submassive,Predominantly G. pectinata
Goniopora,
Goniopora Columnar or digitate,
Goniopora Encrusting,
Goniopora Hemispherical,
Heliofungia,
Heliopora,Is H. coerulea
Herpolitha,Would be H. limax
Hydnophora Branching,
Hydnophora Encrusting,
Isopora Branching,Predominantly I. brueggemanni
Isopora Columnar or digitate,Predominantly I. palifera
Isopora Encrusting,
Isopora Submassive,
Leptastrea Encrusting,
Leptastrea Submassive,
Leptoria,Is L. phrygia
Leptoseris Encrusting,
Lobophyllia Hemispherical,
Lobophyllia Submassive,
Merulina Submassive,
Millepora Branching,
Millepora Submassive,Is M. exeaesa
Montipora Branching,
Montipora Encrusting,
Montipora Foliose plate,
Montipora Submassive,
Mycedium Foliose Plate,Mostly M. elephantotus
Oulophyllia Hemispherical,
Oxypora Encrusting plate,Predominantly O. lacera
Pachyseris,
Pachyseris Encrusting,
Pachyseris Foliose,
Pachyseris Submassive,
Pavona Branching,
Pavona Encrusting plate,
Pavona Submassive,Mostly P. varians
Pectinia Branching,
Pectinia Encrusting,
Phymastrea Submassive,P. valenciennesi and P. magnistellata
Physogyra,Is Physogyra lichtensteini
Platygyra Hemispherical,
Platygyra Submassive,
Pocillopora Branching,Mostly P damicornis and P. verrucosa
Podabacia,
Porites Branching,Predominantly P. cylindrica
Porites Encrusting,Predominantly P. lichen
Porites Foliose plate,
Porites Massive,"Mostly P. lutea, P. lobata and P. solida"
Porites Submassive,"P. vaughani, P. rus, P. lichen"
Psammocora Branching,
Psammocora Encrusting,
Psammocora Submassive,
Sandalolitha,
Seriatopora,S. hystrix and S. caliendrum
Stony corals,
Stylocoeniella,
Stylophora,Is S. pistillata
Symphyllia Hemispherical,
Symphyllia Submassive,
Tubastrea,
Tubipora,
Turbinaria Encrusting,
Turbinaria Foliose plates,
