label,ET_grouping,Genus_GF 
Acanthastrea,Acanthastrea,Acanthastrea Submassive
Acanthastrea brevis,Acanthastrea,Acanthastrea Submassive
Acanthastrea echinata,Acanthastrea,Acanthastrea Submassive
Acanthastrea Encrusting,Acanthastrea,Acanthastrea Submassive
Acanthastrea Hemispherical,Acanthastrea,Acanthastrea Submassive
Acanthastrea hemprichii,Acanthastrea,Acanthastrea Submassive
Acanthastrea hillae,Acanthastrea,Acanthastrea Submassive
Acanthastrea Submassive,Acanthastrea,Acanthastrea Submassive
Acropora,Acropora,Acropora Corymbose
Acropora Encrusting,Acropora,Acropora Corymbose
Acropora abrolhosensis,Acropora abrolhosensis,Acropora Staghorn
Acropora abrotanoides,Acropora abrotanoides,Acropora Arborescent table
Acropora Arborescent table,Acropora Arborescent table,Acropora Arborescent table
Acropora donei,Acropora Arborescent table,Acropora Arborescent table
Acropora robusta,Acropora Arborescent table,Acropora Arborescent table
Acropora sukarnoi,Acropora Arborescent table,Acropora Arborescent table
Acropora austera,Acropora austera,Acropora Branching
Acropora echinata,Acropora Bottlebrush,Acropora Bottlebrush
Acropora striata,Acropora Bottlebrush,Acropora Bottlebrush
Bottlebrush Acropora corals,Acropora Bottlebrush,Acropora Bottlebrush
Acropora lovelli,Acropora Branching,Acropora Branching
Branching Acropora,Acropora Branching,Acropora Branching
Acropora Bushy arborescent,Acropora Bushy arborescent,Acropora Branching
Acropora carduus,Acropora carduus,Acropora Bottlebrush
Acropora cerealis,Acropora cerealis,Acropora Corymbose
Acropora clathrata,Acropora clathrata,Acropora Tabular
Acropora aculeus,Acropora Corymbose,Acropora Corymbose
Acropora anthocercis,Acropora Corymbose,Acropora Corymbose
Acropora bushyensis,Acropora Corymbose,Acropora Corymbose
Acropora caroliniana,Acropora Corymbose,Acropora Corymbose
Acropora chesterfieldensis,Acropora Corymbose,Acropora Corymbose
Acropora granulosa,Acropora Corymbose,Acropora Corymbose
Acropora nana,Acropora Corymbose,Acropora Corymbose
Acropora spathulata,Acropora Corymbose,Acropora Corymbose
Acropora subulata,Acropora Corymbose,Acropora Corymbose
Corymbose Acropora corals,Acropora Corymbose,Acropora Corymbose
Acropora cytherea,Acropora cytherea,Acropora Tabular
Acropora Digitate,Acropora Digitate,Acropora Digitate
Acropora globiceps,Acropora Digitate,Acropora Digitate
Acropora digitifera,Acropora digitifera,Acropora Digitate
Acropora divaricata,Acropora divaricata,Acropora Corymbose
Acropora elseyi,Acropora elseyi,Acropora Bottlebrush
Acropora florida,Acropora florida,Acropora Arborescent table
Acropora gemmifera,Acropora gemmifera,Acropora Digitate
Acropora grandis,Acropora grandis,Acropora Staghorn
Acropora horrida,Acropora horrida,Acropora Branching
Acropora humilis,Acropora humilis,Acropora Digitate
Acropora hyacinthus,Acropora hyacinthus,Acropora Tabular
Acropora intermedia,Acropora intermedia,Acropora Staghorn
Acropora latistella,Acropora latistella,Acropora Tabular
Acropora listeri,Acropora listeri,Acropora Corymbose
Acropora loisetteae,Acropora loisetteae,Acropora Staghorn
Acropora longicyathus,Acropora longicyathus,Acropora Bottlebrush
Acropora loripes,Acropora loripes,Acropora Corymbose
Acropora lutkeni,Acropora lutkeni,Acropora Digitate
Acropora microphthalma,Acropora microphthalma,Acropora Staghorn
Acropora millepora,Acropora millepora,Acropora Corymbose
