SurveyID,Region,SiteCode,MPA,Pre or post bleach,Year,Reef
4000678,GBR,COR11,NTZ,Pre,2010,Hastings
4000679,GBR,COR11,NTZ,Pre,2010,Hastings
4000680,GBR,COR11,NTZ,Pre,2010,Hastings
4000681,GBR,COR11,NTZ,Pre,2010,Hastings
4000715,GBR,COR12,NTZ,Pre,2010,Agincourt
4000716,GBR,COR14,NTZ,Pre,2010,Agincourt
4000717,GBR,COR13,NTZ,Pre,2010,Agincourt
4000720,GBR,QLD51,NTZ,Pre,2010,Lizard
4000721,GBR,QLD51,NTZ,Pre,2010,Lizard
4000722,GBR,QLD52,NTZ,Pre,2010,Lizard
4000723,GBR,QLD52,NTZ,Pre,2010,Lizard
4000724,GBR,QLD47,NTZ,Pre,2010,Lizard
4000725,GBR,QLD47,NTZ,Pre,2010,Lizard
4000730,GBR,QLD55,0,Pre,2010,Lizard
4000731,GBR,QLD55,0,Pre,2010,Lizard
4000732,GBR,QLD57,0,Pre,2010,Lizard
4000733,GBR,QLD57,0,Pre,2010,Lizard
4000734,GBR,QLD46,NTZ,Pre,2010,Lizard
4000735,GBR,QLD46,NTZ,Pre,2010,Lizard
4000738,GBR,QLD50,NTZ,Pre,2010,Lizard
4000739,GBR,QLD50,NTZ,Pre,2010,Lizard
4000752,GBR,QLD54,NTZ,Pre,2010,Lizard
4000753,GBR,QLD54,NTZ,Pre,2010,Lizard
4000758,GBR,QLD7,NTZ,Pre,2010,Keppel
4000759,GBR,QLD7,NTZ,Pre,2010,Keppel
4000775,GBR,QLD15,NTZ,Pre,2010,Keppel
4000776,GBR,QLD15,NTZ,Pre,2010,Keppel
4000848,GBR,QLD20,NTZ,Pre,2010,Whitsundays
4000850,GBR,QLD18,NTZ,Pre,2010,Whitsundays
4000851,GBR,QLD18,NTZ,Pre,2010,Whitsundays
912340015,GBR,QLD60,0,Pre,2012,Chicken
912340016,GBR,QLD60,0,Pre,2012,Chicken
912340017,GBR,QLD61,0,Pre,2012,Chicken
912340018,GBR,QLD61,0,Pre,2012,Chicken
912340019,GBR,QLD62,0,Pre,2012,Chicken
912340020,GBR,QLD62,0,Pre,2012,Chicken
912342230,GBR,CS1,0,Pre,2012,Marion
912342231,GBR,CS2,0,Pre,2012,Marion
912342232,GBR,CS3,0,Pre,2012,Marion
912342233,GBR,CS4,0,Pre,2012,Marion
912342234,GBR,CS6,0,Pre,2012,Marion
912342235,GBR,CS7,0,Pre,2012,Marion
912342236,GBR,CS7,0,Pre,2012,Marion
912342237,GBR,CS8,0,Pre,2012,Marion
912342238,GBR,CS8,0,Pre,2012,Marion
912342239,GBR,CS1,0,Pre,2012,Marion
912342240,GBR,CS2,0,Pre,2012,Marion
912342241,GBR,CS3,0,Pre,2012,Marion
912342242,GBR,CS4,0,Pre,2012,Marion
912342243,GBR,CS6,0,Pre,2012,Marion
912342244,GBR,CS5,0,Pre,2012,Marion
912342245,GBR,CS5,0,Pre,2012,Marion
912342266,GBR,CS9,NTZ,Pre,2012,NE Herald
912342267,GBR,CS9,NTZ,Pre,2012,NE Herald
912342268,GBR,CS10,NTZ,Pre,2012,NE Herald
912342269,GBR,CS10,NTZ,Pre,2012,NE Herald
912342270,GBR,CS11,NTZ,Pre,2012,NE Herald
912342271,GBR,CS12,NTZ,Pre,2012,NE Herald
912342272,GBR,CS13,NTZ,Pre,2012,NE Herald
912342274,GBR,CS15,NTZ,Pre,2012,Chilcott
912342275,GBR,CS16,NTZ,Pre,2012,Chilcott
912342276,GBR,CS17,NTZ,Pre,2012,SW Islet
912342277,GBR,CS18,NTZ,Pre,2012,SW Islet
912342278,GBR,CS11,NTZ,Pre,2012,NE Herald
912342279,GBR,CS12,NTZ,Pre,2012,NE Herald
912342280,GBR,CS13,NTZ,Pre,2012,NE Herald
912342281,GBR,CS16,NTZ,Pre,2012,Chilcott
912342283,GBR,CS15,NTZ,Pre,2012,Chilcott
912342284,GBR,CS17,NTZ,Pre,2012,SW Islet
912342285,GBR,CS18,NTZ,Pre,2012,SW Islet
912343090,GBR,CS20,0,Pre,2013,Cato
912343091,GBR,CS20,0,Pre,2013,Cato
912343092,GBR,CS21,0,Pre,2013,Cato
912343093,GBR,CS21,0,Pre,2013,Cato
912343094,GBR,CS22,0,Pre,2013,Cato
912343095,GBR,CS22,0,Pre,2013,Cato
912343096,GBR,CS23,0,Pre,2013,Cato
912343097,GBR,CS23,0,Pre,2013,Cato
912343098,GBR,CS24,0,Pre,2013,Cato
912343099,GBR,CS24,0,Pre,2013,Cato
912343100,GBR,CS25,0,Pre,2013,Cato
912343101,GBR,CS25,0,Pre,2013,Cato
912343112,GBR,CS31,0,Pre,2013,Bird
912343113,GBR,CS31,0,Pre,2013,Bird
912343114,GBR,CS32,0,Pre,2013,Bird
912343115,GBR,CS32,0,Pre,2013,Bird
912343116,GBR,CS33,0,Pre,2013,Bird
912343117,GBR,CS33,0,Pre,2013,Bird
912343118,GBR,CS34,0,Pre,2013,Bird
912343119,GBR,CS35,0,Pre,2013,Bird
912343120,GBR,CS35,0,Pre,2013,Bird
912343121,GBR,CS36,0,Pre,2013,Porpoise
912343122,GBR,CS36,0,Pre,2013,Porpoise
912343125,GBR,CS38,0,Pre,2013,Porpoise
912343126,GBR,CS38,0,Pre,2013,Porpoise
912343127,GBR,CS39,0,Pre,2013,Porpoise
912343128,GBR,CS39,0,Pre,2013,Porpoise
912343131,GBR,CS41,0,Pre,2013,Wreck N
912343132,GBR,CS41,0,Pre,2013,Wreck N
912343133,GBR,CS42,0,Pre,2013,Wreck
912343134,GBR,CS42,0,Pre,2013,Wreck
912343137,GBR,CS44,0,Pre,2013,Wreck
912343138,GBR,CS44,0,Pre,2013,Wreck
912343139,GBR,CS45,0,Pre,2013,Wreck
912343140,GBR,CS45,0,Pre,2013,Wreck
912343143,GBR,CS47,0,Pre,2013,Saumarez
912343144,GBR,CS47,0,Pre,2013,Saumarez
912343145,GBR,CS48,0,Pre,2013,Saumarez
912343146,GBR,CS48,0,Pre,2013,Saumarez
912343149,GBR,CS50,0,Pre,2013,Saumarez
912343150,GBR,CS50,0,Pre,2013,Saumarez
912343151,GBR,CS51,0,Pre,2013,Saumarez
912343152,GBR,CS51,0,Pre,2013,Saumarez
912343153,GBR,CS52,0,Pre,2013,Kenn
912343154,GBR,CS52,0,Pre,2013,Kenn
912343157,GBR,CS54,0,Pre,2013,Kenn
912343158,GBR,CS54,0,Pre,2013,Kenn
912343159,GBR,CS55,0,Pre,2013,Kenn
912343160,GBR,CS55,0,Pre,2013,Kenn
912343161,GBR,CS56,0,Pre,2013,Kenn
912343162,GBR,CS56,0,Pre,2013,Kenn
912343163,GBR,CS57,0,Pre,2013,Kenn
912343164,GBR,CS57,0,Pre,2013,Kenn
912343165,GBR,CS58,0,Pre,2013,Kenn
912343166,GBR,CS58,0,Pre,2013,Kenn
912343169,GBR,CS60,0,Pre,2013,Kenn
912343170,GBR,CS60,0,Pre,2013,Kenn
912343171,GBR,CS61,0,Pre,2013,Kenn
912343172,GBR,CS61,0,Pre,2013,Kenn
912343175,GBR,CS63,0,Pre,2013,Frederick
912343176,GBR,CS63,0,Pre,2013,Frederick
912343177,GBR,CS64,0,Pre,2013,Frederick
912343178,GBR,CS64,0,Pre,2013,Frederick
912343179,GBR,CS65,0,Pre,2013,Frederick
912343180,GBR,CS65,0,Pre,2013,Frederick
912343191,GBR,CS71,0,Pre,2013,Frederick
912343192,GBR,CS71,0,Pre,2013,Frederick
912343193,GBR,CS72,0,Pre,2013,Frederick
912343194,GBR,CS72,0,Pre,2013,Frederick
912343195,GBR,CS73,0,Pre,2013,Frederick
912343196,GBR,CS73,0,Pre,2013,Frederick
912343197,GBR,CS74,0,Pre,2013,Frederick
912343198,GBR,CS74,0,Pre,2013,Frederick
912343250,GBR,CS101,0,Pre,2013,Diamond
912343251,GBR,CS101,0,Pre,2013,Diamond
912343252,GBR,CS102,0,Pre,2013,Diamond
912343253,GBR,CS102,0,Pre,2013,Diamond
912343254,GBR,CS103,0,Pre,2013,Diamond
912343255,GBR,CS103,0,Pre,2013,Diamond
912343256,GBR,CS104,0,Pre,2013,Diamond
912343267,GBR,CS110,0,Pre,2013,Tregrosse
912343268,GBR,CS110,0,Pre,2013,Tregrosse
912343269,GBR,CS111,0,Pre,2013,Tregrosse
912343270,GBR,CS111,0,Pre,2013,Tregrosse
912343273,GBR,CS113,0,Pre,2013,Tregrosse
912343274,GBR,CS113,0,Pre,2013,Tregrosse
912343290,GBR,CS122,0,Pre,2013,S Flinders
912343291,GBR,CS122,0,Pre,2013,S Flinders
912343292,GBR,CS123,0,Pre,2013,S Flinders
912343293,GBR,CS123,0,Pre,2013,S Flinders
912343298,GBR,CS126,0,Pre,2013,Flinders
912343299,GBR,CS126,0,Pre,2013,Flinders
912343300,GBR,CS127,0,Pre,2013,Flinders
912343301,GBR,CS127,0,Pre,2013,Flinders
912343302,GBR,CS128,0,Pre,2013,Flinders
912343303,GBR,CS128,0,Pre,2013,Flinders
912343304,GBR,CS129,0,Pre,2013,Flinders
912343305,GBR,CS129,0,Pre,2013,Flinders
912343306,GBR,CS130,0,Pre,2013,Chilcott
912343307,GBR,CS130,0,Pre,2013,Chilcott
912343308,GBR,CS131,0,Pre,2013,Chilcott
912343309,GBR,CS131,0,Pre,2013,Chilcott
912343310,GBR,CS132,0,Pre,2013,Chilcott
912343311,GBR,CS132,0,Pre,2013,Chilcott
912343314,GBR,CS134,0,Pre,2013,Chilcott
912343315,GBR,CS134,0,Pre,2013,Chilcott
912343324,GBR,CS139,0,Pre,2013,Magdelaine
912343325,GBR,CS139,0,Pre,2013,Magdelaine
912343326,GBR,CS140,0,Pre,2013,Magdelaine
912343327,GBR,CS140,0,Pre,2013,Magdelaine
912343328,GBR,CS141,0,Pre,2013,Magdelaine
912343329,GBR,CS141,0,Pre,2013,Magdelaine
912343332,GBR,CS143,0,Pre,2013,Willis
912343333,GBR,CS143,0,Pre,2013,Willis
912343334,GBR,CS144,0,Pre,2013,Willis
912343335,GBR,CS144,0,Pre,2013,Willis
912343336,GBR,CS145,0,Pre,2013,Willis
912343337,GBR,CS145,0,Pre,2013,Willis
912343338,GBR,CS146,0,Pre,2013,Holmes
912343339,GBR,CS146,0,Pre,2013,Holmes
912343340,GBR,CS147,0,Pre,2013,Holmes
912343341,GBR,CS147,0,Pre,2013,Holmes
912343342,GBR,CS148,0,Pre,2013,Holmes
912343343,GBR,CS148,0,Pre,2013,Holmes
912343344,GBR,CS149,0,Pre,2013,Holmes
912343345,GBR,CS149,0,Pre,2013,Holmes
912343346,GBR,CS150,0,Pre,2013,Holmes
912343347,GBR,CS150,0,Pre,2013,Holmes
912343348,GBR,CS151,0,Pre,2013,Holmes
912343349,GBR,CS151,0,Pre,2013,Holmes
912343350,GBR,CS152,0,Pre,2013,Holmes
912343351,GBR,CS152,0,Pre,2013,Holmes
912343354,GBR,QLD72,RZ,Pre,2013,Swains
912343355,GBR,QLD72,RZ,Pre,2013,Swains
912343407,GBR,CS153,0,Pre,2013,Osprey
912343408,GBR,CS153,0,Pre,2013,Osprey
912343409,GBR,CS154,0,Pre,2013,Osprey
912343410,GBR,CS155,0,Pre,2013,Osprey
912343411,GBR,CS155,0,Pre,2013,Osprey
912343412,GBR,CS154,0,Pre,2013,Osprey
912343413,GBR,CS156,0,Pre,2013,Osprey
912343414,GBR,CS156,0,Pre,2013,Osprey
912343415,GBR,CS157,0,Pre,2013,Osprey
912343416,GBR,CS157,0,Pre,2013,Osprey
912343417,GBR,CS158,0,Pre,2013,Osprey
912343418,GBR,CS158,0,Pre,2013,Osprey
912343425,GBR,NQ3,0,Pre,2013,Eel
912343430,GBR,NQ3,0,Pre,2013,Eel
912345361,GBR,GBR2,RZ,Pre,2015,Musgrave
912345362,GBR,GBR2,RZ,Pre,2015,Musgrave
912345363,GBR,GBR3,NTZ,Pre,2015,Musgrave
912345364,GBR,GBR3,NTZ,Pre,2015,Musgrave
912345388,GBR,GBR16,NTZ,Pre,2015,Tryon
912345389,GBR,GBR16,NTZ,Pre,2015,Tryon
912345390,GBR,GBR17,NTZ,Pre,2015,Tryon
912345399,GBR,GBR24,NTZ,Pre,2015,Hook
912345400,GBR,GBR25,NTZ,Pre,2015,Hook
912345409,GBR,GBR24,NTZ,Pre,2015,Hook
912345410,GBR,GBR25,NTZ,Pre,2015,Hook
912345436,GBR,QLD54,NTZ,Pre,2015,Lizard
912345437,GBR,GBR39,0,Pre,2015,Cod Hole
912345438,GBR,QLD51,NTZ,Pre,2015,Lizard
912345439,GBR,QLD51,NTZ,Pre,2015,Lizard
912345440,GBR,CS178,0,Pre,2015,Osprey
912345441,GBR,CS178,0,Pre,2015,Osprey
912345442,GBR,CS171,0,Pre,2015,Bougainville
912345443,GBR,CS171,0,Pre,2015,Bougainville
912345444,GBR,CS172,0,Pre,2015,Bougainville
912345445,GBR,CS172,0,Pre,2015,Bougainville
912345446,GBR,CS173,0,Pre,2015,Bougainville
912345447,GBR,CS173,0,Pre,2015,Bougainville
912345448,GBR,CS179,0,Pre,2015,Osprey
912345449,GBR,CS179,0,Pre,2015,Osprey
912345450,GBR,CS175,0,Pre,2015,Bougainville
912345451,GBR,CS175,0,Pre,2015,Bougainville
912345452,GBR,CS176,0,Pre,2015,Bougainville
912345453,GBR,CS176,0,Pre,2015,Bougainville
912345456,GBR,CS182,0,Pre,2015,Osprey
912345457,GBR,CS182,0,Pre,2015,Osprey
912345458,GBR,GBR41,0,Pre,2015,Tydeman
912345459,GBR,GBR41,0,Pre,2015,Tydeman
912345461,GBR,CS184,0,Pre,2015,Osprey
912345468,GBR,CS174,0,Pre,2015,Bougainville
912345469,GBR,QLD54,NTZ,Pre,2015,Lizard
912345470,GBR,QLD52,NTZ,Pre,2015,Lizard
912345471,GBR,GBR39,0,Pre,2015,Cod Hole
912345472,GBR,CS177,0,Pre,2015,Osprey
912345473,GBR,CS180,0,Pre,2015,Osprey
912345474,GBR,CS181,0,Pre,2015,Osprey
