label,ET_grouping
Acanthastrea,Acanthastrea
Acanthastrea brevis,Acanthastrea
Acanthastrea echinata,Acanthastrea
Acanthastrea Encrusting,Acanthastrea
Acanthastrea Hemispherical,Acanthastrea
Acanthastrea hemprichii,Acanthastrea
Acanthastrea hillae,Acanthastrea
Acanthastrea Submassive,Acanthastrea
Acropora,Acropora
Acropora abrolhosensis,Acropora abrolhosensis
Acropora abrotanoides,Acropora abrotanoides
Acropora aculeus,Acropora Corymbose
Acropora anthocercis,Acropora Corymbose
Acropora Arborescent table,Acropora Arborescent table
Acropora austera,Acropora austera
Acropora Bushy arborescent,Acropora Bushy arborescent
Acropora bushyensis,Acropora Corymbose
Acropora carduus,Acropora carduus
Acropora caroliniana,Acropora Corymbose
Acropora cerealis,Acropora cerealis
Acropora chesterfieldensis,Acropora Corymbose
Acropora clathrata,Acropora clathrata
Acropora cytherea,Acropora cytherea
Acropora Digitate,Acropora Digitate
Acropora digitifera,Acropora digitifera
Acropora divaricata,Acropora divaricata
Acropora donei,Acropora Arborescent table
Acropora echinata,Acropora Bottlebrush
Acropora efflorescens,Acropora Tabular
Acropora elseyi,Acropora elseyi
Acropora Encrusting,Acropora
Acropora florida,Acropora florida
Acropora gemmifera,Acropora gemmifera
Acropora glauca,Acropora Tabular
Acropora globiceps,Acropora Digitate
Acropora grandis,Acropora grandis
Acropora granulosa,Acropora Corymbose
Acropora horrida,Acropora horrida
Acropora humilis,Acropora humilis
Acropora hyacinthus,Acropora hyacinthus
Acropora intermedia,Acropora intermedia
Acropora latistella,Acropora latistella
Acropora listeri,Acropora listeri
Acropora loisetteae,Acropora loisetteae
Acropora longicyathus,Acropora longicyathus
Acropora loripes,Acropora loripes
Acropora lovelli,Acropora Branching
Acropora lutkeni,Acropora lutkeni
Acropora microclados,Acropora Tabular
Acropora microphthalma,Acropora microphthalma
Acropora millepora,Acropora millepora
Acropora monticulosa,Acropora monticulosa
Acropora muricata,Acropora muricata
Acropora nana,Acropora Corymbose
Acropora nasuta,Acropora nasuta
Acropora paniculata,Acropora paniculata
Acropora papillare,Acropora papillare
Acropora Perforated plate,Acropora Tabular
Acropora polystoma,Acropora polystoma
Acropora pulchra,Acropora pulchra
Acropora robusta,Acropora Arborescent table
Acropora samoensis,Acropora samoensis
Acropora sarmentosa,Acropora sarmentosa
Acropora secale,Acropora secale
Acropora selago,Acropora selago
Acropora seriata,Acropora seriata
Acropora spathulata,Acropora Corymbose
Acropora spicifera,Acropora spicifera
Acropora Staghorn,Acropora Staghorn
Acropora striata,Acropora Bottlebrush
Acropora subglabra,Acropora subglabra
Acropora subulata,Acropora Corymbose
Acropora sukarnoi,Acropora Arborescent table
Acropora tenuis,Acropora tenuis
Acropora turaki,Acropora turaki
Acropora valenciennesi,Acropora valenciennesi
Acropora valida,Acropora valida
Acropora vaughani,Acropora vaughani
Acropora verweyi,Acropora verweyi
Acropora yongei,Acropora yongei
Alveopora catalai,Alveopora Submassive
Alveopora Hemispherical,Alveopora Submassive
Alveopora spongiosa,Alveopora Submassive
Alveopora Submassive,Alveopora Submassive
Anacropora Branching,Coral branching
Astrea annuligera,Coral submassive
Astrea curta,Astrea curta
Astreopora cucullata,Astreopora Submassive
Astreopora Encrusting,Astreopora Encrusting
Astreopora expansa,Astreopora Solid plates
Astreopora gracilis,Astreopora Submassive
Astreopora Hemispherical,Astreopora Submassive
Astreopora incrustans,Astreopora Encrusting
Astreopora listeri,Astreopora Submassive
Astreopora myriophthalma,Astreopora myriophthalma
Astreopora ocellata,Astreopora Submassive
Astreopora Solid plates,Astreopora Solid plates
Astreopora Submassive,Astreopora Submassive
Bottlebrush Acropora corals,Acropora Bottlebrush
Branching Acropora,Acropora Branching
Branching corals,Coral branching
Branching Pocillopora,Pocillopora
Coeloseris mayeri,Coeloseris mayeri
Columnar corals,Coral columnar
Coral Species,Stony corals
Corals,Corals
Corymbose Acropora corals,Acropora Corymbose
Coscinaraea columna,Coscinaraea columna
Coscinaraea Encrusting,Coscinaraea Submassive
Coscinaraea exesa,Coscinaraea Submassive
Coscinaraea Submassive,Coscinaraea Submassive
Ctenactis,Ctenactis
Ctenactis crassa,Ctenactis
Ctenactis echinata,Ctenactis
Cycloseris patelliformis,Coral mashroom unattached
Cynarina lacrymalis,Cynarina lacrymalis
Cyphastrea,Cyphastrea Submassive
Cyphastrea agassizi,Cyphastrea Submassive
Cyphastrea Branching,Cyphastrea Submassive
Cyphastrea chalcidicum,Cyphastrea Submassive
Cyphastrea Encrusting,Cyphastrea Encrusting
Cyphastrea Hemispherical,Cyphastrea Hemispherical
Cyphastrea microphthalma,Cyphastrea microphthalma
Cyphastrea serailia,Cyphastrea serailia
Cyphastrea Submassive,Cyphastrea Submassive
Digitate corals,Coral digitate
Diploastrea heliopora,Diploastrea heliopora
Echinophyllia,Echinophyllia Encrusting
Echinophyllia aspera,Echinophyllia aspera
Echinophyllia Encrusting,Echinophyllia Encrusting
Echinophyllia orpheensis,Echinophyllia Encrusting
Echinopora,Echinopora
Echinopora ashmorensis,Echinopora ashmorensis
Echinopora Encrusting,Echinopora Encrusting
Echinopora Foliose,Echinopora Encrusting
Echinopora gemmacea,Echinopora gemmacea
Echinopora horrida,Echinopora horrida
Echinopora lamellosa,Echinopora lamellosa
Echinopora mammiformis,Echinopora mammiformis
Echinopora pacificus,Echinopora pacificus
Echinopora Submassive,Echinopora Encrusting
Encrusting corals,Coral Encrusting
Euphyllia ancora,Euphyllia
Euphyllia glabrescens,Euphyllia
Favia,Favia Submassive
Favia amicorum,Favia Hemispherical
Favia favus,Favia favus
Favia helianthoides,Favia Hemispherical
Favia Hemispherical,Favia Submassive
Favia laxa,Favia Hemispherical
Favia lizardensis,Favia Hemispherical
Favia maritima,Favia Hemispherical
Favia matthaii,Favia matthaii
Favia pallida,Favia pallida
Favia rotumana,Favia Hemispherical
Favia rotundata,Favia Hemispherical
Favia speciosa,Favia Hemispherical
Favia stelligera,Favia stelligera
Favia Submassive,Favia Submassive
Favia veroni,Favia Hemispherical
Favites,Favites Submassive
Favites abdita,Favites abdita
Favites complanata,Favites complanata
Favites Encrusting,Favites Encrusting
Favites flexuosa,Favites Submassive
Favites halicora,Favites halicora
Favites Hemispherical,Favites Submassive
Favites pentagona,Favites Submassive
Favites russelli,Favites Submassive
Favites Submassive,Favites Submassive
Foliose/Plate corals,Coral foliose/Plate
Fungia,Fungia
Fungia concinna,Fungia
Fungia danai,Fungia
Fungia fungites,Fungia
Fungia granulosa,Fungia
Fungia horrida,Fungia
Fungia paumotensis,Fungia
Fungia scutaria,Fungia
Galaxea,Galaxea Submassive
Galaxea astreata,Galaxea astreata
Galaxea Encrusting,Galaxea Submassive
Galaxea fascicularis,Galaxea fascicularis
Galaxea Hemispherical,Galaxea Submassive
Galaxea horrescens,Galaxea horrescens
Galaxea Submassive,Galaxea Submassive
Gardineroseris planulata,Gardineroseris planulata
Goniastrea,Goniastrea Hemispherical
Goniastrea aspera,Goniastrea aspera
Goniastrea australensis,Goniastrea Hemispherical
Goniastrea edwardsi,Goniastrea edwardsi
Goniastrea Hemispherical,Goniastrea Hemispherical
Goniastrea pectinata,Goniastrea pectinata
Goniastrea retiformis,Goniastrea retiformis
Goniastrea Submassive,Goniastrea Hemispherical
Goniopora,Goniopora
Goniopora Columnar or digitate,Goniopora Columnar or digitate
Goniopora Encrusting,Goniopora
Goniopora fruticosa,Goniopora
Goniopora Hemispherical,Goniopora Hemispherical
Goniopora somaliensis,Goniopora
Goniopora Submassive,Goniopora Hemispherical
Goniopora tenuidens,Goniopora Hemispherical
Halomitra pileus,Coral mashroom unattached
Heliofungia actiniformis,Coral mashroom unattached
Heliopora coerulea (blue coral),Heliopora coerulea
Herpolitha limax,Coral mashroom unattached
Hydnophora Branching,Hydnophora rigida
Hydnophora exesa,Hydnophora exesa
Hydnophora grandis,Hydnophora rigida
Hydnophora microconos,Hydnophora microconos
Hydnophora pilosa,Hydnophora pilosa
Hydnophora rigida,Hydnophora rigida
Isopora,Isopora
Isopora Branching,Isopora
Isopora brueggemanni,Isopora brueggemanni
Isopora Columnar or digitate,Isopora
Isopora cuneata,Isopora cuneata
Isopora cylindrica,Isopora
Isopora elizabethensis,Isopora
Isopora Encrusting,Isopora Encrusting
Isopora palifera,Isopora palifera
Isopora Submassive,Isopora
Leptastrea,Leptastrea Encrusting
Leptastrea bottae,Leptastrea Submassive
Leptastrea Encrusting,Leptastrea Encrusting
Leptastrea inaequalis,Leptastrea Submassive
Leptastrea pruinosa,Leptastrea Encrusting
Leptastrea purpurea,Leptastrea Encrusting
Leptastrea Submassive,Leptastrea Submassive
Leptastrea transversa,Leptastrea Encrusting
Leptoria phrygia,Leptoria phrygia
Leptoseris,Leptoseris Encrusting
Leptoseris Encrusting,Leptoseris Encrusting
Leptoseris mycetoseroides,Leptoseris Encrusting
Leptoseris scabra,Leptoseris Encrusting
Leptoseris yabei,Leptoseris Encrusting
Lobophyllia,Lobophyllia Submassive
Lobophyllia corymbosa,Lobophyllia Submassive
Lobophyllia dentatus,Lobophyllia Submassive
Lobophyllia Hemispherical,Lobophyllia Submassive
Lobophyllia hemprichii,Lobophyllia hemprichii
Lobophyllia pachysepta,Lobophyllia Submassive
Lobophyllia robusta,Lobophyllia robusta
Massive corals,Coral massive
Merulina ampliata,Merulina ampliata
Merulina scabricula,Merulina scabricula
Millepora,Millepora Branching
Millepora branching,Millepora Branching
Millepora dichotoma,Millepora dichotoma
Millepora exaesa,Millepora exaesa
Millepora intricata,Millepora Branching
Millepora tenera,Millepora tenera
Montipora,Montipora Encrusting
Montipora aequituberculata,Montipora aequituberculata
Montipora caliculata,Montipora caliculata
