"","cluster","indicator_value","probability"
"Isopora.palifera",1,0.417,0.01
"Porites.lichen",1,0.354,0.01
"Acropora.abrotanoides",1,0.221,0.01
"Stylophora.pistillata",1,0.167,0.02
"Hydrocoral",1,0.154,0.01
"Isopora.Encrusting",1,0.111,0.01
"Turbinaria.reniformis",1,0.077,0.02
"Porites.Massive",3,0.394,0.01
"Pocillopora.damicornis",3,0.155,0.02
"Acropora.grandis",3,0.084,0.04
"Acropora.digitifera",4,0.527,0.01
"Acropora.spicifera",4,0.422,0.01
"Montipora.aequituberculata",4,0.243,0.01
"Montipora.Submassive",4,0.236,0.01
"Echinopora.ashmorensis",4,0.194,0.01
"Porites.annae",4,0.179,0.01
"Tabular.Acropora.corals",4,0.154,0.03
"Acropora.tenuis",4,0.152,0.02
"Foliose.Plate.corals",4,0.143,0.03
"Montipora.crassituberculata",4,0.137,0.01
"Acropora.seriata",4,0.095,0.01
"Porites.cylindrica",5,0.393,0.01
"Seriatopora.hystrix",5,0.146,0.02
"Large.polyp.stony.corals..free.living.",5,0.073,0.04
"Isopora.brueggemanni",6,0.458,0.01
"Acropora.muricata",6,0.341,0.01
"Acropora.pulchra",6,0.247,0.01
"Goniastrea.edwardsi",6,0.181,0.02
"Acropora.Staghorn",6,0.141,0.02
"Fungia",6,0.139,0.02
"Goniastrea.retiformis",6,0.117,0.02
"Galaxea.astreata",6,0.114,0.04
"Bottlebrush.Acropora.corals",6,0.103,0.02
"Acropora.abrolhosensis",6,0.086,0.02
"Pachyseris.rugosa",6,0.085,0.03
"Porites.Hemispherical",7,0.421,0.01
"Montipora.Encrusting",7,0.405,0.01
"Pavona.varians",7,0.358,0.01
"Favia.stelligera",7,0.323,0.01
"Millepora.exaesa",7,0.319,0.01
"Goniastrea.pectinata",7,0.252,0.01
"Montipora.grisea",7,0.243,0.01
"Pocillopora.verrucosa",7,0.228,0.01
"Cyphastrea.Encrusting",7,0.208,0.01
"Acropora.hyacinthus",7,0.188,0.01
"Diploastrea.heliopora",7,0.159,0.01
"Acropora.cerealis",7,0.157,0.01
"Montipora.tuberculosa",7,0.153,0.01
"Acropora.humilis",7,0.148,0.01
"Acropora.cytherea",7,0.138,0.02
"Acropora.loripes",7,0.114,0.02
"Digitate.corals",7,0.113,0.03
