"GenusGF","mean.T2.T1.","t.stat","p.param","p.perm","p..0.05","sign.T2.T1."
"Fungia",0.137098652494605,2.59171114576728,0.0061559150900615,0.01,"*",1
"Montipora.Encrusting",-0.567654987277885,-4.26554376680594,4.12834674667453e-05,0.01,"*",-1
"Stylophora",-0.301641334739682,-3.38848932893269,0.000666269612354815,0.01,"*",-1
"Cyphastrea.Submassive",-0.176735637204715,-2.54587873377186,0.00692198284926824,0.02,"*",-1
"Leptoria",-0.10130932660776,-2.18025222849248,0.0168501604287857,0.02,"*",-1
"Porites.Encrusting",-0.293361462998683,-2.74805647970276,0.00408813912848883,0.02,"*",-1
"Heliopora",-0.118757165500126,-2.32753603199833,0.0118938427818156,0.03,"*",-1
"Millepora.Branching",-0.0878266793910979,-1.94535026096998,0.0285228004971588,0.03,"*",-1
"Astreopora.Submassive",0.0482802771576773,1.64434177095403,0.0530125231941109,0.04,"*",1
"Favites.Submassive",-0.116348559270273,-2.34475675303516,0.0114089118102227,0.04,"*",-1
"Isopora.Columnar.or.digitate",-0.214590546387436,-2.08679743180365,0.0208662477884036,0.04,"*",-1
"Physogyra",-0.102430321177712,-1.9214380507822,0.0300306396337145,0.04,"*",-1
