survey_id,site_code,site_name,latitude,longitude,survey_date,program,database,is_NESP_pre.post,survey_year
912342230,CS1,Long Reef West,-19.29696,152.23517,9/9/2012,RLS,Squidle+,Pre,2012
912342239,CS1,Long Reef West,-19.29696,152.23517,9/9/2012,RLS,Squidle+,Pre,2012
912346321,CS1,Long Reef West,-19.29696,152.23517,7/6/2016,RLS,Squidle+,Post,2016
912346333,CS1,Long Reef West,-19.29696,152.23517,7/6/2016,RLS,Squidle+,Post,2016
912347738,CS1,Long Reef West,-19.29696,152.23517,19/3/2017,RLS,Squidle+,Post,2017
912347739,CS1,Long Reef West,-19.29696,152.23517,19/3/2017,RLS,Squidle+,Post,2017
912342268,CS10,NE Herald Cay SW,-16.94777,149.18262,23/10/2012,RLS,Squidle+,Pre,2012
912342269,CS10,NE Herald Cay SW,-16.94777,149.18262,23/10/2012,RLS,Squidle+,Pre,2012
912347688,CS10,NE Herald Cay SW,-16.94777,149.18262,13/1/2017,RLS,Squidle+,Post,2017
912343250,CS101,Diamond Cay Islet,-17.41432,151.07258,16/6/2013,RLS,Squidle+,Pre,2013
912347636,CS101,Diamond Cay Islet,-17.41432,151.07258,18/11/2016,RLS,Squidle+,Post,2016
912347666,CS101,Diamond Cay Islet,-17.41432,151.07258,18/11/2016,RLS,Squidle+,Post,2016
912343252,CS102,East Diamond Islet NW,-17.41703,151.07128,16/6/2013,RLS,Squidle+,Pre,2013
912343253,CS102,East Diamond Islet NW,-17.41703,151.07128,16/6/2013,RLS,Squidle+,Pre,2013
912347637,CS102,East Diamond Islet NW,-17.41703,151.07128,18/11/2016,RLS,Squidle+,Post,2016
912347667,CS102,East Diamond Islet NW,-17.41703,151.07128,18/11/2016,RLS,Squidle+,Post,2016
912343254,CS103,East Diamond Islet lagoon,-17.43525,151.07027,17/6/2013,RLS,Squidle+,Pre,2013
912343255,CS103,East Diamond Islet lagoon,-17.43525,151.07027,17/6/2013,RLS,Squidle+,Pre,2013
912347634,CS103,East Diamond Islet lagoon,-17.43525,151.07027,16/11/2016,RLS,Squidle+,Post,2016
912347664,CS103,East Diamond Islet lagoon,-17.43525,151.07027,16/11/2016,RLS,Squidle+,Post,2016
912343256,CS104,East Diamond Islet Tower,-17.4347,151.07127,17/6/2013,RLS,Squidle+,Pre,2013
912347635,CS104,East Diamond Islet Tower,-17.4347,151.07127,16/11/2016,RLS,Squidle+,Post,2016
912342270,CS11,NE Herald Cay Central,-16.93653,149.19696,24/10/2012,RLS,Squidle+,Pre,2012
912342278,CS11,NE Herald Cay Central,-16.93653,149.19696,24/10/2012,RLS,Squidle+,Pre,2012
912347689,CS11,NE Herald Cay Central,-16.93653,149.19696,13/1/2017,RLS,Squidle+,Post,2017
912347716,CS11,NE Herald Cay Central,-16.93653,149.19696,13/1/2017,RLS,Squidle+,Post,2017
912343267,CS110,Tregrosse Outlier Reef Down,-17.71175,150.73692,18/6/2013,RLS,Squidle+,Pre,2013
912343268,CS110,Tregrosse Outlier Reef Down,-17.71175,150.73692,18/6/2013,RLS,Squidle+,Pre,2013
912347633,CS110,Tregrosse Outlier Reef Down,-17.71175,150.73692,15/11/2016,RLS,Squidle+,Post,2016
912347662,CS110,Tregrosse Outlier Reef Down,-17.71175,150.73692,15/11/2016,RLS,Squidle+,Post,2016
912343269,CS111,Tregrosse Outlier Reef,-17.71298,150.7345,18/6/2013,RLS,Squidle+,Pre,2013
912343270,CS111,Tregrosse Outlier Reef,-17.71298,150.7345,18/6/2013,RLS,Squidle+,Pre,2013
912347632,CS111,Tregrosse Outlier Reef,-17.71298,150.7345,15/11/2016,RLS,Squidle+,Post,2016
912347663,CS111,Tregrosse Outlier Reef,-17.71298,150.7345,15/11/2016,RLS,Squidle+,Post,2016
912343273,CS113,Tregosse Reef,-17.77473,150.63277,18/6/2013,RLS,Squidle+,Pre,2013
912343274,CS113,Tregosse Reef,-17.77473,150.63277,18/6/2013,RLS,Squidle+,Pre,2013
912347631,CS113,Tregosse Reef,-17.77473,150.63277,14/11/2016,RLS,Squidle+,Post,2016
912347661,CS113,Tregosse Reef,-17.77473,150.63277,14/11/2016,RLS,Squidle+,Post,2016
912342271,CS12,NE Herald Bommie,-16.93007,149.19332,25/10/2012,RLS,Squidle+,Pre,2012
912342279,CS12,NE Herald Bommie,-16.93007,149.19332,25/10/2012,RLS,Squidle+,Pre,2012
912347692,CS12,NE Herald Bommie,-16.93007,149.19332,15/1/2017,RLS,Squidle+,Post,2017
912347719,CS12,NE Herald Bommie,-16.93007,149.19332,15/1/2017,RLS,Squidle+,Post,2017
912343292,CS123,South Flinders Horseshoe NW,-17.82899,148.50514,29/6/2013,RLS,Squidle+,Pre,2013
912343293,CS123,South Flinders Horseshoe NW,-17.82899,148.50514,29/6/2013,RLS,Squidle+,Pre,2013
912347712,CS123,South Flinders Horseshoe NW,-17.82899,148.50514,24/1/2017,RLS,Squidle+,Post,2017
912347713,CS123,South Flinders Horseshoe NW,-17.82899,148.50514,24/1/2017,RLS,Squidle+,Post,2017
912343298,CS126,Flinders Ribbon Reef South Cay,-17.71666,148.43873,30/6/2013,RLS,Squidle+,Pre,2013
912343299,CS126,Flinders Ribbon Reef South Cay,-17.71666,148.43873,30/6/2013,RLS,Squidle+,Pre,2013
912347706,CS126,Flinders Ribbon Reef South Cay,-17.71666,148.43873,22/1/2017,RLS,Squidle+,Post,2017
912347731,CS126,Flinders Ribbon Reef South Cay,-17.71666,148.43873,22/1/2017,RLS,Squidle+,Post,2017
912343300,CS127,Flinders Ribbon Reef South Cay SW,-17.71505,148.4373,30/6/2013,RLS,Squidle+,Pre,2013
912343301,CS127,Flinders Ribbon Reef South Cay SW,-17.71505,148.4373,30/6/2013,RLS,Squidle+,Pre,2013
912347707,CS127,Flinders Ribbon Reef South Cay SW,-17.71505,148.4373,22/1/2017,RLS,Squidle+,Post,2017
912347732,CS127,Flinders Ribbon Reef South Cay SW,-17.71505,148.4373,22/1/2017,RLS,Squidle+,Post,2017
912343302,CS128,Flinders Cay Storm Bommie,-17.70575,148.4606,30/6/2013,RLS,Squidle+,Pre,2013
912343303,CS128,Flinders Cay Storm Bommie,-17.70575,148.4606,30/6/2013,RLS,Squidle+,Pre,2013
912347709,CS128,Flinders Cay Storm Bommie,-17.70575,148.4606,23/1/2017,RLS,Squidle+,Post,2017
912347730,CS128,Flinders Cay Storm Bommie,-17.70575,148.4606,23/1/2017,RLS,Squidle+,Post,2017
912343304,CS129,Flinders Ribbon Reef South Cay E bommie,-17.70304,148.46176,30/6/2013,RLS,Squidle+,Pre,2013
912343305,CS129,Flinders Ribbon Reef South Cay E bommie,-17.70304,148.46176,30/6/2013,RLS,Squidle+,Pre,2013
912347708,CS129,Flinders Ribbon Reef South Cay E bommie,-17.70304,148.46176,23/1/2017,RLS,Squidle+,Post,2017
912342272,CS13,NE Herald Back Reef,-16.92822,149.20228,25/10/2012,RLS,Squidle+,Pre,2012
912342280,CS13,NE Herald Back Reef,-16.92822,149.20228,25/10/2012,RLS,Squidle+,Pre,2012
912347691,CS13,NE Herald Back Reef,-16.92822,149.20228,14/1/2017,RLS,Squidle+,Post,2017
912347718,CS13,NE Herald Back Reef,-16.92822,149.20228,14/1/2017,RLS,Squidle+,Post,2017
912343306,CS130,Chilcott Islet bommie,-16.93133,149.999,1/7/2013,RLS,Squidle+,Pre,2013
912343307,CS130,Chilcott Islet bommie,-16.93133,149.999,1/7/2013,RLS,Squidle+,Pre,2013
912347697,CS130,Chilcott Islet bommie,-16.93133,149.999,17/1/2017,RLS,Squidle+,Post,2017
912347722,CS130,Chilcott Islet bommie,-16.93133,149.999,17/1/2017,RLS,Squidle+,Post,2017
912343308,CS131,Chilcott Islet Haven,-16.93012,150.00203,2/7/2013,RLS,Squidle+,Pre,2013
912343309,CS131,Chilcott Islet Haven,-16.93012,150.00203,2/7/2013,RLS,Squidle+,Pre,2013
912347695,CS131,Chilcott Islet Haven,-16.93012,150.00203,16/1/2017,RLS,Squidle+,Post,2017
912347696,CS131,Chilcott Islet Haven,-16.93012,150.00203,16/1/2017,RLS,Squidle+,Post,2017
912343310,CS132,Chilcott Islet SW inner reef,-16.93157,149.99043,2/7/2013,RLS,Squidle+,Pre,2013
912343311,CS132,Chilcott Islet SW inner reef,-16.93157,149.99043,2/7/2013,RLS,Squidle+,Pre,2013
912347698,CS132,Chilcott Islet SW inner reef,-16.93157,149.99043,17/1/2017,RLS,Squidle+,Post,2017
912347699,CS132,Chilcott Islet SW inner reef,-16.93157,149.99043,18/1/2017,RLS,Squidle+,Post,2017
912343324,CS139,Magdelaine Cay SW,-16.53378,150.26845,4/7/2013,RLS,Squidle+,Pre,2013
912343325,CS139,Magdelaine Cay SW,-16.53378,150.26845,4/7/2013,RLS,Squidle+,Pre,2013
912347640,CS139,Magdelaine Cay SW,-16.53378,150.26845,20/11/2016,RLS,Squidle+,Post,2016
912347670,CS139,Magdelaine Cay SW,-16.53378,150.26845,20/11/2016,RLS,Squidle+,Post,2016
912343326,CS140,Magdelaine Cay gulch,-16.53091,150.26973,4/7/2013,RLS,Squidle+,Pre,2013
912343327,CS140,Magdelaine Cay gulch,-16.53091,150.26973,4/7/2013,RLS,Squidle+,Pre,2013
912347641,CS140,Magdelaine Cay gulch,-16.53091,150.26973,20/11/2016,RLS,Squidle+,Post,2016
912347671,CS140,Magdelaine Cay gulch,-16.53091,150.26973,20/11/2016,RLS,Squidle+,Post,2016
912343328,CS141,Magdelaine Reef Cruise Ship,-16.52097,150.27712,4/7/2013,RLS,Squidle+,Pre,2013
912343329,CS141,Magdelaine Reef Cruise Ship,-16.52097,150.27712,4/7/2013,RLS,Squidle+,Pre,2013
912347638,CS141,Magdelaine Reef Cruise Ship,-16.52097,150.27712,19/11/2016,RLS,Squidle+,Post,2016
912347668,CS141,Magdelaine Reef Cruise Ship,-16.52097,150.27712,19/11/2016,RLS,Squidle+,Post,2016
